RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.637084e+02	1.260547e-01	4.080560e-01	2.617914e-01	1.072816e-01	7.084238e-02
3	-1.713699e+02	1.149294e-01	4.135517e-01	2.656419e-01	1.078192e-01	7.500533e-02
4	-1.760453e+02	1.085006e-01	4.151120e-01	2.685362e-01	1.081494e-01	7.835603e-02
5	-1.787919e+02	1.048182e-01	4.152283e-01	2.705150e-01	1.083470e-01	8.073154e-02
6	-1.804029e+02	1.027139e-01	4.149005e-01	2.718112e-01	1.084670e-01	8.231575e-02
7	-1.814466e+02	1.013142e-01	4.145952e-01	2.727054e-01	1.085433e-01	8.342812e-02
8	-1.820373e+02	1.005323e-01	4.143440e-01	2.732390e-01	1.085876e-01	8.409574e-02
9	-1.824298e+02	9.998181e-02	4.141985e-01	2.735988e-01	1.086153e-01	8.455244e-02
10	-1.827270e+02	9.953319e-02	4.141223e-01	2.738718e-01	1.086344e-01	8.490466e-02
11	-1.829235e+02	9.918238e-02	4.141490e-01	2.740453e-01	1.086436e-01	8.513714e-02
12	-1.830447e+02	9.905995e-02	4.140145e-01	2.741716e-01	1.086553e-01	8.529158e-02
13	-1.831499e+02	9.894513e-02	4.139092e-01	2.742804e-01	1.086649e-01	8.542598e-02
14	-1.832285e+02	9.876997e-02	4.139693e-01	2.743453e-01	1.086664e-01	8.551875e-02
15	-1.833115e+02	9.859115e-02	4.140214e-01	2.744158e-01	1.086685e-01	8.561834e-02
16	-1.833158e+02	9.859205e-02	4.140081e-01	2.744214e-01	1.086692e-01	8.562449e-02
17	-1.833302e+02	9.862708e-02	4.139140e-01	2.744459e-01	1.086737e-01	8.564774e-02
18	-1.833532e+02	9.865401e-02	4.138089e-01	2.744798e-01	1.086791e-01	8.568236e-02
19	-1.832582e+02	9.882727e-02	4.137983e-01	2.743932e-01	1.086748e-01	8.556552e-02
20	-1.832685e+02	9.873065e-02	4.139215e-01	2.743879e-01	1.086703e-01	8.557084e-02
