RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.380015e+00	8.037863e+01
2	4.569803e+00	8.361450e+01
3	4.664900e+00	8.567723e+01
4	4.718758e+00	8.758283e+01
5	4.739263e+00	8.805444e+01
6	4.747260e+00	8.825088e+01
7	4.748371e+00	8.824403e+01
8	4.746895e+00	8.877819e+01
9	4.746902e+00	8.948906e+01
10	4.750888e+00	8.990515e+01
11	4.751900e+00	8.980860e+01
12	4.749266e+00	9.009830e+01
13	4.746771e+00	9.022589e+01
14	4.749255e+00	9.018529e+01
15	4.750306e+00	9.029164e+01
16	4.754288e+00	9.040996e+01
17	4.759473e+00	8.978686e+01
18	4.759233e+00	8.969253e+01
19	4.762590e+00	9.008106e+01
20	4.766776e+00	9.011334e+01
