Case	Converged	Monotone	Algo12Diff	LastTR	ObjSpeed	ConSpeed
N_XIF0	Both	Mono	Likewise	1S2L	Alg1Faster	Alg2Faster
N_XIF1	Both	Mono	Different	1S2L	Alg1Faster	Alg2Faster
N_XIF2	Both	Mono	Different	1S2L	Alg1Faster	Alg2Faster
N_XIF3	Both	Mono	Likewise	1S2L	Alg1Faster	Alg2Faster
N_XIF4	Both	Mono	Likewise	1S2L	Alg1Faster	Alg2Faster
N_XR0	Both	Mono	Identical	1S2M	Similar	Similar
N_XR1	Both	Mono	Likewise	1S2M	Alg1Faster	Alg2Faster
N_XR2	Both	Mono	Identical	1S2M	Alg1Faster	Alg2Faster
N_XR3	Both	Mono	Identical	1S2M	Similar	Similar
N_XR4	Both	Mono	Identical	1S2M	Similar	Similar
N_XRF0	Both	Mono	Identical	Small	Similar	Similar
N_XRF1	Both	Mono	Identical	Small	Similar	Similar
N_XRF2	Both	Mono	Identical	Small	Similar	Similar
N_XRF3	Both	Mono	Identical	Small	Similar	Similar
N_XRF4	Both	Mono	Identical	Small	Similar	Similar
N_XRIF0	Both	Mono	Different	1S2M	Alg1Faster	Alg2Faster
N_XRIF1	Both	Mono	VeryDiff	1S2M	Alg1Faster	Alg2Faster
N_XRIF2	Both	Mono	Different	1S2M	Alg1Faster	Alg2Faster
N_XRIF3	Both	Mono	Different	1S2M	Alg1Faster	Alg2Faster
N_XRIF4	Both	Mono	Different	1S2M	Alg1Faster	Alg2Faster
O1_U0	Both	Osc	Identical	Small	Similar	Similar
O1_U1	Both	Osc	VeryDiff	Small	Alg1Faster	Alg2Faster
O1_U2	Both	Alg2	Likewise	Small	Alg2Faster	Alg2Faster
O1_U3	Both	Osc	Different	Small	Alg1Faster	Alg2Faster
O1_U4	Both	Osc	Likewise	Small	Alg2Faster	Alg2Faster
O1_U5	Both	Osc	Likewise	Small	Alg2Faster	Alg2Faster
O1_U6	Both	Osc	Identical	Small	Similar	Similar
O1_U7	Both	Osc	Likewise	Small	Alg2Faster	Alg2Faster
O1_R0	Both	Osc	Identical	Small	Similar	Similar
O1_R1	Both	Mono	Identical	Small	Similar	Similar
O1_R2	Both	Mono	Identical	Small	Similar	Similar
O1_R3	Both	Mono	Identical	Small	Similar	Similar
O1_R4	Both	Mono	Different	Small	Alg1Faster	Alg2Faster
O1_P0	Both	Osc	Identical	Small	Similar	Similar
O1_P1	Both	Osc	Identical	Small	Similar	Similar
O1_P2	Both	Osc	Identical	Small	Similar	Similar
O1_P3	Both	Osc	Identical	Small	Similar	Similar
O1_P4	Alg1	Osc	VeryDiff	Small	Alg2Faster	Alg1Faster
O1_P5	Alg1	Osc	VeryDiff	Small	Alg2Faster	Alg1Faster
O1_PF0	Both	Alg2	Likewise	Small	Alg2Faster	Alg2Faster
O1_PF1	Both	Alg2	Likewise	Small	Alg2Faster	Alg2Faster
O1_PF2	Both	Alg2	Different	Small	Alg2Faster	Alg1Faster
O1_PF3	Both	Osc	Different	Small	Alg2Faster	Alg1Faster
O1_PF4	Alg1	Osc	VeryDiff	Small	Alg2Faster	Alg1Faster
O1_PF5	Alg1	Osc	VeryDiff	Small	Alg2Faster	Alg1Faster
O1_PIF0	Both	Osc	VeryDiff	Small	Alg1Faster	Alg2Faster
O1_PIF1	Both	Osc	Likewise	Small	Alg2Faster	Alg2Faster
O1_PIF2	Both	Osc	Likewise	Small	Alg2Faster	Alg2Faster
O1_PIF3	Both	Osc	Likewise	Small	Alg1Faster	Alg2Faster
O1_PIF4	Fail	Osc	Different	Small	Alg2Faster	Alg1Faster
O1_PIF5	Fail	Osc	Different	Small	Alg2Faster	Alg1Faster
O1_X0	Both	Osc	Identical	Small	Similar	Similar
O1_X1	Both	Osc	Identical	Small	Similar	Similar
O1_X2	Both	Osc	Identical	Small	Similar	Similar
O1_X3	Both	Osc	Identical	Small	Similar	Similar
O1_X4	Both	Osc	Identical	Small	Similar	Similar
