	compo_cost_devi	compo_cost_devi10	compo_cost_aver5	compo_cost_devi25	compo_cost_aver25	compo_cost_speed	compo_cost_monoto	compo_con_devi	compo_con_devi10	compo_con_aver5	compo_con_devi25	compo_con_aver25	compo_con_speed	compo_con_monoto	compo_u1_devi	compo_u1_devi10	compo_u1_aver5	compo_u1_devi25	compo_u1_aver25	compo_u1_speed	compo_u1_monoto	compo_u2_devi	compo_u2_devi10	compo_u2_aver5	compo_u2_devi25	compo_u2_aver25	compo_u2_speed	compo_u2_monoto	compo_last_r	penalty_cost_devi	penalty_cost_devi10	penalty_cost_aver5	penalty_cost_devi25	penalty_cost_aver25	penalty_cost_speed	penalty_cost_monoto	penalty_con_devi	penalty_con_devi10	penalty_con_aver5	penalty_con_devi25	penalty_con_aver25	penalty_con_speed	penalty_con_monoto	penalty_u1_devi	penalty_u1_devi10	penalty_u1_aver5	penalty_u1_devi25	penalty_u1_aver25	penalty_u1_speed	penalty_u1_monoto	penalty_u2_devi	penalty_u2_devi10	penalty_u2_aver5	penalty_u2_devi25	penalty_u2_aver25	penalty_u2_speed	penalty_u2_monoto	penalty_last_r
N_U0	1.2131337000000004	1.2131136000000002	6.7200000000045e-06	3.200000000036507e-06	6.400000000073014e-07	2	2.9040000000035704e-05	0.11318521459999999	0.1109797947	0.00010858818000000002	0.0005330297	0.00010660594	1	8.074174000001488e-05	0.1593682999999999	0.1591862	0.00019402000000000584	8.500000000022379e-06	1.7000000000044758e-06	2	0.1402986999999999	0.13561729999999989	0.13546360000000002	0.00015971999999996321	5.599999999883476e-06	1.1199999999766952e-06	1	0.11412338	0.00075683592	1.2142058000000004	1.2134598	4.4080000000007445e-05	0.00018650000000008937	3.7300000000017874e-05	2	0.0	0.11000020352937108	0.110000068185374	-6.768095e-09	3.3836015e-08	-6.7672030000000005e-09	1	1.4785011978601936e-08	0.16023650000000017	0.15920100000000004	0.00024660000000000795	0.00026250000000005436	5.250000000001087e-05	2	0.14028540000000012	0.13643860000000013	0.1355048000000001	0.00011355999999996813	0.00023049999999996684	-4.609999999999337e-05	1	0.11412199999999995	0.096875
N_U1	1.3157379900000001	1.3157185900000001	1.8000000000517603e-07	2.9000000000278803e-06	5.800000000055761e-07	2	0.26215756000000057	2.9575748380000015	2.955369727200001	0.00010835110000000001	0.0005337887	0.00010675774	2	8.051464000002895e-05	0.4809231000000001	0.48078410000000005	2.3039999999996398e-05	6.300000000014627e-06	1.2600000000029254e-06	1	0.019790240000000014	0.37176594999999985	0.37164635	1.8959999999967892e-05	4.499999999851845e-06	8.999999999703689e-07	1	0.007033700000000087	0.00075683592	1.6723847000000005	1.6716386	0.00016298000000000145	0.00018650000000008937	3.7300000000017874e-05	4	0.0	2.3064708873608573	2.306470752017068	-6.771735399999999e-09	3.3836015e-08	-6.7672030000000005e-09	2	6.371378979963538e-10	0.9043900000000005	0.9033315000000002	0.0008912600000000048	0.00026250000000005436	5.250000000001087e-05	3	0.6139048000000003	0.4385080000000001	0.4375355	0.0006400599999999868	0.00023049999999996684	-4.609999999999337e-05	3	0.48203059999999975	2.3
N_U2	2.599863499999999	2.5998414	6.600000000078765e-07	5.600000000022254e-06	-5.199999999871974e-07	2	3.2180000000270326e-05	2.0351519012000026	2.0329284870000013	0.00010835110000000001	0.000549858	0.0001099716	3	9.477479999997485e-05	0.4617105000000001	0.4615608	5.846000000000462e-05	1.180000000000625e-05	-7.599999999996499e-07	1	0.01811834000000001	0.41101980000000005	0.41089820000000005	4.807999999998369e-05	9.899999999951614e-06	-1.4000000002623026e-07	1	0.007954740000000016	0.001953125	2.6008482999999956	2.6001022999999996	3.79200000000135e-05	0.00018650000000008937	3.7300000000017874e-05	2	0.0	2.0321702030156157	2.032170067671579	-6.7674612e-09	3.3836015e-08	-6.7672030000000005e-09	3	1.4432011141707335e-11	0.4626462000000002	0.4616008999999999	0.00011092000000000324	0.00026250000000005436	5.250000000001087e-05	1	0.018087399999999976	0.4118938000000001	0.4109684	2.039999999980946e-06	0.00023049999999996684	-4.609999999999337e-05	1	0.008015399999999673	0.3875
N_U3	8.691862499999994	8.6918454	0.00044800000000000395	9.799999999976494e-06	-1.7599999999895477e-06	4	2.1539999999653503e-05	7.174657830299994	7.172444754599998	0.00010835112	0.000568206	0.0001136412	2	7.404909999930709e-05	0.9489941599999998	0.9485851599999999	-0.0015685999999999756	1.8400000000029504e-05	-1.2000000000012002e-06	4	1.0487979200000004	1.684937800000001	1.6845983000000002	-0.0013091200000000303	2.219999999991673e-05	2.479999999971394e-06	4	0.99801158	0.0025390625	10.70776740000001	10.707020799999999	0.0005460600000000093	0.00018650000000008937	3.7300000000017874e-05	4	8.881784197001252e-16	5.380698793834899	5.380698658490305	-6.7637672000000005e-09	3.3836015e-08	-6.7672030000000005e-09	2	7.794201728472672e-09	1.84324087	1.8420215700000004	-0.0016184199999999982	0.00026250000000005436	5.250000000001087e-05	4	1.1088875399999996	1.4406960000000004	1.4396774	-0.0014418400000000165	0.00023049999999996684	-4.609999999999337e-05	4	1.0692840000000001	1.5
N_U4	8.697585399999996	8.697567800000002	0.0004558800000000085	1.0199999999960241e-05	-1.839999999986297e-06	4	2.1160000001962942e-05	2.588868091500003	2.586653854200001	0.00010835110000000001	0.0005693676	0.00011387352	2	7.352052000020315e-05	1.7526763	1.7522570000000002	0.0016022200000000097	2.6599999999987745e-05	-4.119999999985247e-06	4	1.1825305200000016	0.8496646999999994	0.8493223999999998	0.0013023999999999924	2.069999999998462e-05	1.0599999999749698e-06	4	0.8992568400000001	0.003125	9.118984500000012	9.1182378	0.0006530000000000092	0.00018650000000008937	3.7300000000017874e-05	4	0.0	2.344560888326771	2.3445607529833015	-6.779551199999999e-09	3.3836015e-08	-6.7672030000000005e-09	2	1.6468364449906403e-09	1.643652300000001	1.6424558000000002	0.001916260000000014	0.00026250000000005436	5.250000000001087e-05	4	1.377828400000001	1.2226945000000007	1.2216159000000004	0.0014659799999999779	0.00023049999999996684	-4.609999999999337e-05	4	1.0386055999999992	1.5
N_U5	16.659702400000015	16.659683100000002	4.6720000000005645e-05	6.8000000000012495e-06	-2.7999999999139824e-07	4	2.7019999999211564e-05	3.8504233979000024	3.848215428400001	0.00010835110000000001	0.0005463766	0.00010927532	4	8.879977999987076e-05	3.2099165999999997	3.2096164000000003	-0.0005084399999999989	1.9900000000017126e-05	-2.219999999997224e-06	3	0.06781138000000064	2.8547991	2.8545488000000003	-0.00042064000000002766	1.3900000000011126e-05	-1.100000000020529e-06	3	0.024115999999999804	0.001953125	16.660654999999984	16.659908900000005	8.40000000000063e-05	0.00018650000000008937	3.7300000000017874e-05	4	0.0	3.847560685092504	3.847560549748287	-6.7653334e-09	3.3836015e-08	-6.7672030000000005e-09	4	5.246403311787162e-11	3.210654599999999	3.2095677	-0.0004561199999999932	0.00026250000000005436	5.250000000001087e-05	3	0.0677957999999994	2.855495400000001	2.854604	-0.00046680000000003384	0.00023049999999996684	-4.609999999999337e-05	3	0.024100400000000244	2.3
N_U6	15.491238299999997	15.491220200000003	0.000811120000000004	1.0199999999960241e-05	-1.839999999986297e-06	5	2.1459999999251522e-05	6.682217922799994	6.680003757899998	0.00010835110000000001	0.0005692954	0.00011385907999999999	4	6.375292000049271e-05	2.818289700000001	2.8177425000000005	-0.0021060599999999986	2.269999999998662e-05	-4.999999999921734e-07	4	0.3019373000000005	1.9224354000000001	1.9219789999999999	-0.0017657400000000156	2.8000000000028002e-05	2.3199999999778952e-06	4	0.44625538	0.0025390625	15.492190200000012	15.4914434	0.0008483200000000135	0.00018650000000008937	3.7300000000017874e-05	5	1.7763568394002505e-15	6.679353577947827	6.679353442603094	-6.764222e-09	3.3836015e-08	-6.7672030000000005e-09	4	1.8417978253637557e-10	2.818972399999999	2.817681	-0.002053460000000007	0.00026250000000005436	5.250000000001087e-05	4	0.3018954000000007	1.9230953000000004	1.9220272000000003	-0.0018118200000000085	0.00023049999999996684	-4.609999999999337e-05	4	0.44634019999999985	2.3
N_U7	21.57727370000001	21.577252799999997	1.1540000000009876e-05	8.799999999975494e-06	-1.5199999999881975e-06	4	3.017999999954668e-05	3.8867434650000026	3.884518661800001	0.00010835110000000001	0.0005644633	0.00011289266	4	0.8426655743399996	2.8565487000000003	2.8562972	-0.00025256000000000166	1.9299999999999873e-05	-1.8999999999880223e-06	3	0.03372769999999914	0.9350220399999996	0.9347946399999998	-0.00020852000000001202	1.4099999999961366e-05	1.219999999990673e-06	2	1.0321094199999998	0.0025390625	21.578222499999974	21.577476499999996	4.880000000000995e-05	0.00018650000000008937	3.7300000000017874e-05	4	0.0	3.8838684772284062	3.883868341884272	-6.766188399999999e-09	3.3836015e-08	-6.7672030000000005e-09	4	0.8425760000266369	2.8573144999999984	2.8562464	-0.00020015999999999367	0.00026250000000005436	5.250000000001087e-05	3	0.033693599999999435	0.9357502400000006	0.93484324	-0.00025464000000000595	0.00023049999999996684	-4.609999999999337e-05	2	1.0319904	1.5
N_R0	1.2131337000000004	1.2131136000000002	6.7200000000045e-06	3.200000000036507e-06	6.400000000073014e-07	2	2.9040000000035704e-05	0.11318521459999999	0.1109797947	0.00010858818000000002	0.0005330297	0.00010660594	1	8.074174000001488e-05	0.1593682999999999	0.1591862	0.00019402000000000584	8.500000000022379e-06	1.7000000000044758e-06	2	0.1402986999999999	0.13561729999999989	0.13546360000000002	0.00015971999999996321	5.599999999883476e-06	1.1199999999766952e-06	1	0.11412338	0.00075683592	1.2142058000000004	1.2134598	4.4080000000007445e-05	0.00018650000000008937	3.7300000000017874e-05	2	0.0	0.11000020352937108	0.110000068185374	-6.768095e-09	3.3836015e-08	-6.7672030000000005e-09	1	1.4785011978601936e-08	0.16023650000000017	0.15920100000000004	0.00024660000000000795	0.00026250000000005436	5.250000000001087e-05	2	0.14028540000000012	0.13643860000000013	0.1355048000000001	0.00011355999999996813	0.00023049999999996684	-4.609999999999337e-05	1	0.11412199999999995	0.096875
N_R1	1.4690547000000003	1.4690346000000003	6.81200000000104e-05	3.3000000000393825e-06	6.600000000078765e-07	3	2.8660000000124697e-05	0.11318377619999997	0.1109781508	0.00010858826	0.0005327327	0.00010654653999999999	1	8.108254000002701e-05	0.5299108000000001	0.5295987	-0.0006143599999999915	1.2300000000076139e-05	1.5800000000121273e-06	3	0.43251018000000013	0.40544759999999985	0.40519019999999983	-0.0005085000000000228	1.2699999999976619e-05	-1.8000000001627825e-07	3	0.37304391999999986	0.00092773436	1.4700940000000005	1.4693479	0.00010546000000000722	0.00018650000000008937	3.7300000000017874e-05	3	0.0	0.11000021719552906	0.11000008185127699	-6.7650324e-09	3.3836015e-08	-6.7672030000000005e-09	1	4.114889198825189e-08	0.5306470000000003	0.5295524	-0.0005617199999999988	0.00026250000000005436	5.250000000001087e-05	3	0.4324326000000003	0.4060798000000001	0.4051807	-0.0005546000000000384	0.00023049999999996684	-4.609999999999337e-05	3	0.3730091999999998	0.3875
