RTO_iter	cost	con
1	3.000000e+00	-2.000000e+00
2	1.006688e+00	-9.999781e-01
3	4.861162e-01	9.169136e-09
4	6.356019e-01	2.452577e-09
5	1.497461e-01	1.813872e-09
6	4.861162e-01	4.975838e-09
7	2.106258e-01	3.580736e-09
8	1.542102e-01	2.866729e-09
9	1.455924e-01	2.529290e-09
10	1.497461e-01	2.504366e-09
11	1.460857e-01	2.971290e-09
12	1.454416e-01	3.116879e-09
13	1.455924e-01	2.714621e-09
14	1.454175e-01	2.677606e-09
15	1.455924e-01	2.734769e-09
16	1.454801e-01	2.716692e-09
17	1.454426e-01	7.354471e-09
18	1.454285e-01	2.703097e-09
19	1.454227e-01	2.700886e-09
20	1.454201e-01	2.699771e-09
21	1.454190e-01	2.699280e-09
22	1.454186e-01	2.699091e-09
23	1.454185e-01	2.699033e-09
24	1.454185e-01	2.699017e-09
25	1.454195e-01	2.699750e-09
26	1.454195e-01	2.699746e-09
27	1.454195e-01	2.699745e-09
28	1.454195e-01	2.699744e-09
29	1.454195e-01	2.699744e-09
30	1.454195e-01	2.699744e-09
