RTO_iter	cost	con
1	1.425000e+01	-1.250000e+00
2	6.959649e+00	-1.299041e+00
3	2.369837e+00	-9.249102e-01
4	3.013765e-01	-2.073481e-01
5	5.729828e-01	8.815140e-09
6	2.535899e-01	7.605083e-09
7	3.040563e-01	-2.166488e-01
8	1.454423e-01	-1.357337e-07
9	2.414201e-01	-8.147586e-08
10	1.686847e-01	5.080123e-09
11	1.507862e-01	6.576395e-09
12	1.465330e-01	1.881189e-09
13	1.455907e-01	2.589794e-09
14	1.454171e-01	2.680841e-09
15	1.456666e-01	3.303043e-09
16	1.454423e-01	3.087630e-09
17	1.454048e-01	2.975739e-09
18	1.454423e-01	3.005096e-09
19	1.454173e-01	2.945695e-09
20	1.454095e-01	2.917063e-09
21	1.454068e-01	2.902786e-09
22	1.454058e-01	2.895839e-09
23	1.454070e-01	2.897671e-09
24	1.454064e-01	2.894529e-09
25	1.454072e-01	2.895624e-09
26	1.454081e-01	2.896717e-09
27	1.454090e-01	2.897810e-09
28	1.454100e-01	2.898902e-09
29	1.454097e-01	2.897698e-09
30	1.454105e-01	2.898508e-09
