RTO_iter	cost	con
1	1.425000e+01	-1.250000e+00
2	6.944749e+00	-1.671288e+00
3	7.709260e-01	-8.412975e-01
4	1.927315e-01	-1.212828e-01
5	1.456555e-01	1.271015e-09
6	1.454500e-01	4.368085e-10
7	1.454119e-01	5.943057e-11
8	1.454048e-01	2.205559e-10
9	1.454035e-01	1.507731e-10
10	1.454033e-01	1.807786e-10
11	1.454032e-01	1.678391e-10
12	1.454032e-01	1.734118e-10
13	1.454032e-01	1.710104e-10
14	1.454032e-01	1.720449e-10
15	1.454032e-01	1.715993e-10
16	1.454032e-01	1.717912e-10
17	1.454032e-01	1.717084e-10
18	1.454032e-01	1.717442e-10
19	1.454032e-01	1.717287e-10
20	1.454032e-01	1.717354e-10
21	1.454032e-01	1.717326e-10
22	1.454032e-01	1.717338e-10
23	1.454032e-01	1.717334e-10
24	1.454032e-01	1.717335e-10
25	1.454032e-01	1.717334e-10
26	1.454032e-01	1.717334e-10
27	1.454032e-01	1.717334e-10
28	1.454032e-01	1.717334e-10
29	1.454032e-01	1.717334e-10
30	1.454032e-01	8.379430e-11
