RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.371190e+00	7.808998e+01
2	4.565763e+00	8.023473e+01
3	4.670088e+00	8.166589e+01
4	4.727755e+00	8.260303e+01
5	4.760715e+00	8.321386e+01
6	4.780274e+00	8.361548e+01
7	4.792445e+00	8.387516e+01
8	4.799570e+00	8.403987e+01
9	4.803990e+00	8.414791e+01
10	4.806649e+00	8.421077e+01
11	4.808508e+00	8.425872e+01
12	4.808445e+00	8.427973e+01
13	4.809628e+00	8.429992e+01
14	4.810741e+00	8.431819e+01
15	4.811256e+00	8.432485e+01
16	4.811085e+00	8.432988e+01
17	4.811458e+00	8.434313e+01
18	4.811487e+00	8.433820e+01
19	4.811573e+00	8.433697e+01
20	4.812734e+00	8.434547e+01
