RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.353357e+00	8.016636e+01
2	4.539578e+00	8.328748e+01
3	4.645932e+00	8.530704e+01
4	4.716499e+00	8.720079e+01
5	4.739384e+00	8.763252e+01
6	4.728791e+00	8.771526e+01
7	4.747998e+00	8.774641e+01
8	4.751613e+00	8.828362e+01
9	4.781927e+00	8.909837e+01
10	4.798317e+00	8.956906e+01
11	4.782068e+00	8.940666e+01
12	4.776569e+00	8.967003e+01
13	4.772898e+00	8.977454e+01
14	4.784856e+00	8.976130e+01
15	4.794857e+00	8.990643e+01
16	4.805563e+00	9.006106e+01
17	4.780940e+00	8.932543e+01
18	4.799188e+00	8.930345e+01
19	4.809823e+00	8.973290e+01
20	4.810454e+00	8.975924e+01
