RTO_iter	cost	con
1	1.750000e+00	-2.500000e-01
2	1.422422e+00	-1.335178e+00
3	5.546130e-01	-3.210485e-01
4	1.255626e+00	-1.061844e+00
5	4.341536e-01	-5.239713e-01
6	2.005839e-01	-5.501068e-09
7	3.615224e-01	-2.308074e-01
8	1.527949e-01	-6.953233e-08
9	2.005839e-01	6.797738e-09
10	1.508144e-01	5.252766e-09
11	1.527949e-01	-4.454416e-09
12	1.454442e-01	5.560480e-10
13	1.508144e-01	7.962549e-09
14	1.465271e-01	3.689750e-09
15	1.455867e-01	3.289272e-09
16	1.454159e-01	3.073228e-09
17	1.455867e-01	3.131260e-09
18	1.454764e-01	3.014741e-09
19	1.454400e-01	2.958157e-09
20	1.454265e-01	2.929511e-09
21	1.454209e-01	2.915269e-09
22	1.454185e-01	2.908338e-09
23	1.454174e-01	2.905205e-09
24	1.454170e-01	2.903999e-09
25	1.454169e-01	2.903626e-09
26	1.454179e-01	2.904343e-09
27	1.454179e-01	2.904243e-09
28	1.454189e-01	2.904936e-09
29	1.454189e-01	2.904910e-09
30	1.454199e-01	2.905597e-09
