RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0							0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.508944e-01	1.000000e+00	2.000000e+00	2.000000e+00	2.750000e+00	2.750000e+00	-2.500000e-01	5.200000e-01	5.000000e-01	-3.000000e+00	0.000000e+00	2.000000e+00
2	3.133365e-01	1.000000e+00	-8.796602e-01	-4.209059e-01	5.715035e-01	-1.335178e+00	2.302083e+00	4.416080e+00	1.337355e+00	-1.906682e+00	-2.220446e-14	2.000000e+00
3	-5.100099e-01	1.000000e+00	6.127264e-01	-1.347154e+00	1.387605e+00	-3.210485e-01	-5.811343e-02	5.347496e-01	3.422692e-01	-1.708654e+00	0.000000e+00	2.000000e+00
4	2.230117e-01	5.000000e-01	-1.379302e+00	-8.198959e-01	-1.032763e-02	-1.061844e+00						
5	3.203539e-01	5.000000e-01	-2.431656e-01	1.446451e-02	5.612134e-01	-5.239713e-01	6.773192e-01	2.410180e+00	7.331931e-01	-1.085185e+00	0.000000e+00	2.000000e+00
6	-4.693162e-01	5.000000e-01	2.119571e-01	-2.949451e-01	1.032777e+00	-5.501068e-09	-1.137315e-02	4.391322e-01	2.338802e-01	-1.032777e+00	0.000000e+00	2.000000e+00
7	3.289067e-01	2.500000e-01	-3.788284e-01	-1.423372e-01	4.086448e-01	-2.308074e-01						
8	-8.352522e-01	2.500000e-01	-5.433578e-02	5.528739e-02	7.018591e-01	-6.953233e-08	2.071307e-01	1.354240e+00	4.212925e-01	-7.018592e-01	0.000000e+00	2.000000e+00
9	6.546697e-02	1.250000e-01	2.119571e-01	9.557989e-02	1.032777e+00	6.797738e-09						
10	-8.831354e-02	1.250000e-01	7.968418e-02	1.225420e-01	8.604301e-01	5.252766e-09	7.113018e-02	8.884045e-01	3.246549e-01	-8.604301e-01	0.000000e+00	2.000000e+00
11	4.931206e-01	6.250000e-02	-5.433578e-02	1.283881e-01	7.018591e-01	-4.454416e-09						
12	-2.610579e+00	6.250000e-02	1.331570e-02	1.399243e-01	7.796139e-01	5.560481e-10	1.321285e-01	1.119535e+00	3.723355e-01	-7.796139e-01	0.000000e+00	2.000000e+00
13	-1.050787e+00	3.125000e-02	7.968417e-02	1.433872e-01	8.604301e-01	7.962549e-09						
14	-2.801912e-01	1.562500e-02	4.661282e-02	1.444137e-01	8.196180e-01	3.689750e-09						
15	1.124233e-01	7.812500e-03	2.999864e-02	1.449357e-01	7.995177e-01	3.289272e-09						
16	-3.299571e+00	7.812500e-03	2.166690e-02	1.451925e-01	7.895420e-01	3.073228e-09	1.237490e-01	1.090438e+00	3.663021e-01	-7.895420e-01	0.000000e+00	2.000000e+00
17	-2.391541e+00	3.906250e-03	2.999924e-02	1.453642e-01	7.995184e-01	3.131260e-09						
18	-1.924084e+00	1.953125e-03	2.583611e-02	1.453906e-01	7.945251e-01	3.014741e-09						
19	-1.686823e+00	9.765625e-04	2.375391e-02	1.454034e-01	7.920342e-01	2.958157e-09						
20	-1.568057e+00	4.882812e-04	2.271442e-02	1.454097e-01	7.907924e-01	2.929511e-09						
21	-1.510170e+00	2.441406e-04	2.219858e-02	1.454128e-01	7.901765e-01	2.915269e-09						
22	-1.483990e+00	1.220703e-04	2.194814e-02	1.454143e-01	7.898776e-01	2.908338e-09						
23	-1.473973e+00	6.103516e-05	2.183495e-02	1.454149e-01	7.897425e-01	2.905205e-09						
24	1.000000e+00	3.051758e-05	2.179156e-02	1.454152e-01	7.896908e-01	2.903999e-09						
25	-1.611394e+00	3.051758e-05	2.177810e-02	1.454153e-01	7.896747e-01	2.903626e-09	1.236388e-01	1.090050e+00	3.662218e-01	-7.896747e-01	0.000000e+00	2.000000e+00
26	1.000000e+00	1.525879e-05	2.188928e-02	1.454163e-01	7.898074e-01	2.904343e-09						
27	-1.762749e+00	1.525879e-05	2.188565e-02	1.454163e-01	7.898030e-01	2.904243e-09	1.235322e-01	1.089675e+00	3.661442e-01	-7.898030e-01	0.000000e+00	2.000000e+00
28	1.000000e+00	7.629395e-06	2.199317e-02	1.454173e-01	7.899313e-01	2.904936e-09						
29	-1.932007e+00	7.629395e-06	2.199225e-02	1.454173e-01	7.899302e-01	2.904910e-09	1.234266e-01	1.089304e+00	3.660672e-01	-7.899302e-01	0.000000e+00	2.000000e+00
30		3.814697e-06	2.209881e-02	1.454183e-01	7.900574e-01	2.905597e-09						
