RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.356000e+00	8.027833e+01
2	4.516975e+00	8.337155e+01
3	4.592175e+00	8.530846e+01
4	4.641169e+00	8.714000e+01
5	4.656573e+00	8.755314e+01
6	4.637173e+00	8.760414e+01
7	4.624419e+00	8.749110e+01
8	4.610784e+00	8.792068e+01
9	4.625811e+00	8.863485e+01
10	4.656440e+00	8.913983e+01
11	4.665951e+00	8.909861e+01
12	4.667661e+00	8.942286e+01
13	4.666533e+00	8.957030e+01
14	4.678451e+00	8.958169e+01
15	4.697893e+00	8.978446e+01
16	4.728198e+00	9.004828e+01
17	4.729352e+00	8.946224e+01
18	4.744463e+00	8.946618e+01
19	4.773096e+00	9.000086e+01
20	4.801459e+00	9.018930e+01
