RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.120755e+00	7.925419e+01
2	4.242243e+00	8.195870e+01
3	4.404700e+00	8.409697e+01
4	4.596451e+00	8.649525e+01
5	4.594743e+00	8.694953e+01
6	4.353913e+00	8.603317e+01
7	4.487597e+00	8.639575e+01
8	4.482139e+00	8.688702e+01
9	4.775792e+00	8.881407e+01
10	4.908361e+00	9.006964e+01
11	4.717018e+00	8.945546e+01
12	4.689912e+00	8.966263e+01
13	4.669180e+00	8.969771e+01
14	4.772041e+00	9.006485e+01
15	4.882769e+00	9.073156e+01
16	4.994551e+00	9.148372e+01
17	4.679690e+00	8.964838e+01
18	4.915853e+00	9.039590e+01
19	5.041510e+00	9.144518e+01
20	5.054257e+00	9.173664e+01
