RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.257356e+00	8.114032e+01
2	4.440611e+00	8.478414e+01
3	4.580736e+00	8.693356e+01
4	4.729407e+00	8.905948e+01
5	4.697557e+00	8.848991e+01
6	4.560596e+00	8.728024e+01
7	4.593269e+00	8.736966e+01
8	4.599984e+00	8.776672e+01
9	4.775974e+00	8.960787e+01
10	4.847678e+00	9.020324e+01
11	4.734284e+00	8.899824e+01
12	4.711757e+00	8.903093e+01
13	4.687526e+00	8.888290e+01
14	4.726623e+00	8.909410e+01
15	4.788263e+00	8.964075e+01
16	4.851952e+00	9.016992e+01
17	4.684661e+00	8.832976e+01
18	4.794637e+00	8.922997e+01
19	4.886587e+00	9.032061e+01
20	4.885684e+00	9.018537e+01
