RTO_iter	cost	con
1	3.000000e+00	-2.000000e+00
2	1.000000e+00	-1.000000e+00
3	2.500000e-01	-2.500000e-01
4	1.454036e-01	-1.219261e-09
5	1.454033e-01	1.817368e-10
6	1.454032e-01	1.674266e-10
7	1.454032e-01	1.735896e-10
8	1.454032e-01	1.709338e-10
9	1.454032e-01	1.720779e-10
10	1.454032e-01	1.715851e-10
11	1.454032e-01	1.717975e-10
12	1.454032e-01	1.717059e-10
13	1.454032e-01	1.717453e-10
14	1.454032e-01	1.717284e-10
15	1.454032e-01	1.717356e-10
16	1.454032e-01	1.717324e-10
17	1.454032e-01	1.717340e-10
18	1.454032e-01	1.717333e-10
19	1.454032e-01	1.717335e-10
20	1.454032e-01	1.717334e-10
21	1.454032e-01	1.717333e-10
22	1.454032e-01	1.717334e-10
23	1.454032e-01	1.717334e-10
24	1.454032e-01	1.717334e-10
25	1.454032e-01	7.447842e-11
26	1.454032e-01	1.717334e-10
27	1.454032e-01	1.717333e-10
28	1.454032e-01	1.717334e-10
29	1.454032e-01	1.717334e-10
30	1.454032e-01	1.717334e-10
