RTO_iter	cost	con
1	9.750000e+00	-3.500000e+00
2	4.740701e+00	-2.489006e+00
3	1.889858e+00	-1.480589e+00
4	8.004357e-01	-5.206258e-01
5	1.567341e+00	-1.315911e+00
6	5.629953e-01	-6.953574e-01
7	2.409292e-01	-1.421524e-01
8	4.636720e-01	-3.632528e-01
9	1.583966e-01	-5.461142e-08
10	1.879683e-01	6.658913e-09
11	1.474509e-01	5.065477e-09
12	1.583966e-01	-3.812620e-09
13	1.465982e-01	3.065268e-10
14	1.474509e-01	4.448449e-09
15	1.454312e-01	7.659352e-09
16	1.474505e-01	3.783075e-09
17	1.460410e-01	3.376516e-09
18	1.456363e-01	3.134772e-09
19	1.455088e-01	3.027075e-09
20	1.454638e-01	7.448900e-09
21	1.454460e-01	7.438583e-09
22	1.454383e-01	2.924532e-09
23	1.454348e-01	2.917558e-09
24	1.454333e-01	2.914426e-09
25	1.454328e-01	2.913231e-09
