RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.382663e+00	8.038964e+01
2	4.578059e+00	8.365241e+01
3	4.678880e+00	8.574699e+01
4	4.736493e+00	8.768036e+01
5	4.759547e+00	8.817003e+01
6	4.773013e+00	8.839618e+01
7	4.781043e+00	8.842648e+01
8	4.785365e+00	8.900208e+01
9	4.787962e+00	8.974481e+01
10	4.790020e+00	9.016837e+01
11	4.789468e+00	9.006930e+01
12	4.787394e+00	9.036685e+01
13	4.786104e+00	9.050319e+01
14	4.789060e+00	9.046649e+01
15	4.788472e+00	9.056940e+01
16	4.788568e+00	9.067231e+01
17	4.792045e+00	9.003099e+01
18	4.790993e+00	8.992688e+01
19	4.790106e+00	9.029706e+01
20	4.788741e+00	9.029905e+01
