RTO_iter	cost	con
1	9.750000e+00	-1.250000e+00
2	5.710923e+00	-1.136348e+00
3	2.827245e+00	-1.258026e+00
4	9.505739e-01	-9.616189e-01
5	7.168687e-02	2.687950e-01
6	3.860371e-01	-4.762409e-01
7	7.289950e-02	2.748669e-01
8	1.976681e-01	-1.365077e-01
9	2.179363e-01	1.535963e-02
10	1.540364e-01	1.770664e-05
11	1.603378e-01	-4.184300e-02
12	1.485703e-01	7.777562e-04
13	1.454517e-01	6.706889e-06
14	1.516153e-01	-1.756639e-02
15	1.459216e-01	3.870927e-04
16	1.454182e-01	-2.760571e-05
17	1.457649e-01	3.873947e-04
18	1.455042e-01	1.459999e-04
19	1.454358e-01	6.090233e-05
20	1.454171e-01	2.733864e-05
21	1.454117e-01	1.283286e-05
22	1.454099e-01	6.190162e-06
23	1.454093e-01	3.096066e-06
24	1.454090e-01	1.722835e-06
25	1.454090e-01	1.198729e-06
