RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.140359e+00	8.003994e+01
2	4.294104e+00	8.310076e+01
3	4.448812e+00	8.524278e+01
4	4.598455e+00	8.724171e+01
5	4.627311e+00	8.773728e+01
6	4.508314e+00	8.728037e+01
7	4.584282e+00	8.756999e+01
8	4.589430e+00	8.794639e+01
9	4.751013e+00	8.919413e+01
10	4.831261e+00	8.995995e+01
11	4.735992e+00	8.952376e+01
12	4.720354e+00	8.960714e+01
13	4.706648e+00	8.957379e+01
14	4.757201e+00	8.975103e+01
15	4.816143e+00	9.014108e+01
16	4.876485e+00	9.057845e+01
17	4.708690e+00	8.941576e+01
18	4.826781e+00	8.987200e+01
19	4.897257e+00	9.054372e+01
20	4.908879e+00	9.069976e+01
