RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.783170e+02	1.220267e-01	3.817674e-01	2.764019e-01	1.093916e-01	8.642806e-02
3	-1.869853e+02	1.071893e-01	3.807977e-01	2.847515e-01	1.099445e-01	9.729371e-02
4	-1.898216e+02	9.797833e-02	3.836941e-01	2.881229e-01	1.098678e-01	1.025809e-01
5	-1.909482e+02	8.924203e-02	3.877169e-01	2.905862e-01	1.095596e-01	1.072006e-01
6	-1.908384e+02	9.105730e-02	3.874562e-01	2.898479e-01	1.096326e-01	1.058740e-01
7	-1.901628e+02	9.673629e-02	3.809385e-01	2.898940e-01	1.098923e-01	1.051640e-01
8	-1.902782e+02	9.585172e-02	3.833664e-01	2.892940e-01	1.098347e-01	1.044367e-01
9	-1.904793e+02	9.467095e-02	3.823288e-01	2.902975e-01	1.098207e-01	1.059843e-01
10	-1.909710e+02	8.667891e-02	3.896975e-01	2.909364e-01	1.094177e-01	1.081515e-01
11	-1.908543e+02	8.403892e-02	3.931455e-01	2.906910e-01	1.092348e-01	1.083319e-01
12	-1.909560e+02	8.897395e-02	3.885008e-01	2.903814e-01	1.095377e-01	1.069589e-01
13	-1.909416e+02	8.925215e-02	3.866088e-01	2.910462e-01	1.095741e-01	1.078471e-01
14	-1.909005e+02	9.002576e-02	3.852558e-01	2.912540e-01	1.096226e-01	1.080133e-01
15	-1.909593e+02	8.884112e-02	3.875748e-01	2.908316e-01	1.095444e-01	1.076142e-01
16	-1.909681e+02	8.639849e-02	3.905038e-01	2.907267e-01	1.093936e-01	1.079093e-01
17	-1.908549e+02	8.405305e-02	3.935974e-01	2.904951e-01	1.092295e-01	1.080541e-01
18	-1.907961e+02	9.159784e-02	3.869766e-01	2.897957e-01	1.096585e-01	1.057181e-01
19	-1.909417e+02	8.739771e-02	3.924839e-01	2.894336e-01	1.094097e-01	1.059214e-01
20	-1.907703e+02	8.318338e-02	3.957249e-01	2.899940e-01	1.091502e-01	1.075404e-01
