RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.557542e+00	8.014716e+01
2	4.814401e+00	8.331340e+01
3	4.937208e+00	8.525161e+01
4	4.994300e+00	8.639463e+01
5	5.021197e+00	8.706515e+01
6	5.035100e+00	8.747112e+01
7	5.039520e+00	8.767665e+01
8	5.043131e+00	8.781225e+01
9	5.046985e+00	8.791743e+01
10	5.051401e+00	8.800784e+01
11	5.051641e+00	8.804094e+01
12	5.051859e+00	8.806338e+01
13	5.054942e+00	8.811017e+01
14	5.055279e+00	8.812443e+01
15	5.056040e+00	8.813800e+01
16	5.055104e+00	8.813314e+01
17	5.053754e+00	8.812131e+01
18	5.051632e+00	8.808964e+01
19	5.052492e+00	8.809401e+01
20	5.053620e+00	8.810383e+01
