RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.353161e+00	8.030593e+01
2	4.541378e+00	8.356817e+01
3	4.648099e+00	8.570018e+01
4	4.714578e+00	8.741383e+01
5	4.741754e+00	8.814116e+01
6	4.741679e+00	8.850983e+01
7	4.758521e+00	8.876201e+01
8	4.763895e+00	8.919559e+01
9	4.785116e+00	8.974266e+01
10	4.796460e+00	9.007942e+01
11	4.786408e+00	9.005260e+01
12	4.783666e+00	9.022768e+01
13	4.781715e+00	9.031040e+01
14	4.789214e+00	9.032971e+01
15	4.795970e+00	9.042551e+01
16	4.802969e+00	9.052357e+01
17	4.785818e+00	9.014115e+01
18	4.798524e+00	9.013820e+01
19	4.805789e+00	9.036524e+01
20	4.806422e+00	9.038604e+01
