RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.697963e+02	1.172905e-01	4.124553e-01	2.648072e-01	1.077169e-01	7.406007e-02
3	-1.784486e+02	1.034391e-01	4.182034e-01	2.698830e-01	1.082106e-01	8.019262e-02
4	-1.826668e+02	9.621005e-02	4.192737e-01	2.732644e-01	1.084193e-01	8.463887e-02
5	-1.847856e+02	9.237062e-02	4.188665e-01	2.754435e-01	1.085192e-01	8.760761e-02
6	-1.859065e+02	9.027087e-02	4.181824e-01	2.768207e-01	1.085732e-01	8.951155e-02
7	-1.865350e+02	8.905157e-02	4.176094e-01	2.776904e-01	1.086035e-01	9.072524e-02
8	-1.868706e+02	8.847779e-02	4.171275e-01	2.781922e-01	1.086252e-01	9.141261e-02
9	-1.870691e+02	8.809013e-02	4.168647e-01	2.785020e-01	1.086356e-01	9.184610e-02
10	-1.871999e+02	8.777451e-02	4.167419e-01	2.787129e-01	1.086391e-01	9.215207e-02
11	-1.872906e+02	8.748747e-02	4.167206e-01	2.788640e-01	1.086376e-01	9.238320e-02
12	-1.873455e+02	8.740297e-02	4.166089e-01	2.789555e-01	1.086420e-01	9.250718e-02
13	-1.873815e+02	8.734488e-02	4.165374e-01	2.790159e-01	1.086447e-01	9.258965e-02
14	-1.874132e+02	8.718495e-02	4.165873e-01	2.790724e-01	1.086408e-01	9.268620e-02
15	-1.874325e+02	8.714517e-02	4.165569e-01	2.791054e-01	1.086417e-01	9.273288e-02
16	-1.874436e+02	8.710081e-02	4.165614e-01	2.791252e-01	1.086411e-01	9.276465e-02
17	-1.874503e+02	8.712649e-02	4.165097e-01	2.791356e-01	1.086437e-01	9.277231e-02
18	-1.874517e+02	8.717534e-02	4.164539e-01	2.791365e-01	1.086468e-01	9.276431e-02
19	-1.874311e+02	8.728406e-02	4.164174e-01	2.790993e-01	1.086496e-01	9.270001e-02
20	-1.874248e+02	8.726065e-02	4.164653e-01	2.790894e-01	1.086472e-01	9.269260e-02
