RTO_iter	cost	con
1	9.750000e+00	-3.500000e+00
2	4.800636e+00	-2.471034e+00
3	1.200159e+00	-5.510806e-01
4	3.000397e-01	-1.572388e-01
5	1.631966e-01	-1.032376e-09
6	1.487060e-01	2.666053e-09
7	1.460166e-01	-2.596946e-10
8	1.455171e-01	7.783240e-10
9	1.454243e-01	3.092117e-10
10	1.454071e-01	5.100923e-10
11	1.454039e-01	4.230893e-10
12	1.454033e-01	4.605077e-10
13	1.454032e-01	4.443725e-10
14	1.454032e-01	4.513218e-10
15	1.454032e-01	4.483274e-10
16	1.454032e-01	4.496173e-10
17	1.454032e-01	4.490616e-10
18	1.454032e-01	4.493010e-10
19	1.454032e-01	4.491979e-10
20	1.454032e-01	4.492423e-10
21	1.454032e-01	4.492231e-10
22	1.454032e-01	4.492314e-10
23	1.454032e-01	4.492279e-10
24	1.454032e-01	4.492293e-10
25	1.454032e-01	4.492288e-10
