RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.191163e+00	8.038186e+01
2	4.294166e+00	8.318809e+01
3	4.484290e+00	8.562373e+01
4	4.986939e+00	9.281186e+01
5	4.760555e+00	8.898844e+01
6	4.289631e+00	8.466126e+01
7	4.319123e+00	8.407547e+01
8	4.279546e+00	8.480039e+01
9	5.046793e+00	9.240019e+01
10	5.393355e+00	9.620010e+01
11	4.885878e+00	9.048176e+01
12	4.735177e+00	8.998353e+01
13	4.611510e+00	8.912529e+01
14	4.743405e+00	8.981901e+01
15	5.039983e+00	9.276953e+01
16	5.387372e+00	9.618865e+01
17	4.767880e+00	8.879153e+01
18	5.182767e+00	9.176622e+01
19	5.538048e+00	9.588311e+01
20	5.466487e+00	9.466894e+01
