RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.397343e+00	7.831578e+01
2	4.598289e+00	8.054831e+01
3	4.706396e+00	8.204502e+01
4	4.763033e+00	8.299237e+01
5	4.792162e+00	8.357168e+01
6	4.810597e+00	8.396264e+01
7	4.819597e+00	8.418602e+01
8	4.826576e+00	8.434480e+01
9	4.832704e+00	8.447049e+01
10	4.838402e+00	8.457046e+01
11	4.838916e+00	8.460856e+01
12	4.840755e+00	8.465276e+01
13	4.843597e+00	8.469606e+01
14	4.846168e+00	8.473591e+01
15	4.845823e+00	8.473747e+01
16	4.844742e+00	8.473315e+01
17	4.843155e+00	8.472275e+01
18	4.840325e+00	8.468102e+01
19	4.842868e+00	8.470203e+01
20	4.844275e+00	8.471387e+01
