RTO_iter	cost	con
1	9.750000e+00	-1.250000e+00
2	5.710923e+00	-1.136348e+00
3	2.827245e+00	-1.258026e+00
4	9.505739e-01	-9.616189e-01
5	4.655963e-01	9.091649e-09
6	6.584461e-01	2.434307e-09
7	1.523356e-01	1.866549e-09
8	4.655963e-01	4.930724e-09
9	2.018927e-01	3.484539e-09
10	1.512254e-01	2.701457e-09
11	1.523356e-01	2.532924e-09
12	1.454167e-01	2.797346e-09
13	1.512254e-01	2.993175e-09
14	1.467180e-01	2.859391e-09
15	1.456682e-01	2.729119e-09
16	1.454429e-01	2.692293e-09
17	1.454049e-01	2.673911e-09
18	1.454429e-01	2.702695e-09
19	1.454177e-01	2.693871e-09
20	1.454098e-01	2.689044e-09
21	1.454070e-01	2.686799e-09
22	1.454059e-01	2.685702e-09
23	1.454071e-01	2.687633e-09
24	1.454066e-01	2.687139e-09
25	1.454074e-01	2.688293e-09
26	1.454083e-01	2.689445e-09
27	1.454092e-01	2.690597e-09
28	1.454103e-01	2.691747e-09
29	1.454100e-01	2.691559e-09
30	1.454108e-01	2.692412e-09
