1.100000e+01	7.444444e+00	4.777778e+00	3.000000e+00	2.111111e+00	2.111111e+00	3.000000e+00	4.777778e+00	7.444444e+00	1.100000e+01
1.033333e+01	6.777778e+00	4.111111e+00	2.333333e+00	1.444444e+00	1.444444e+00	2.333333e+00	4.111111e+00	6.777778e+00	1.033333e+01
9.666667e+00	6.111111e+00	3.444444e+00	1.666667e+00	7.777778e-01	7.777778e-01	1.666667e+00	3.444444e+00	6.111111e+00	9.666667e+00
9.000000e+00	5.444444e+00	2.777778e+00	1.000000e+00	1.111111e-01	1.111111e-01	1.000000e+00	2.777778e+00	5.444444e+00	9.000000e+00
8.333333e+00	4.777778e+00	2.111111e+00	3.333333e-01	-5.555556e-01	-5.555556e-01	3.333333e-01	2.111111e+00	4.777778e+00	8.333333e+00
7.666667e+00	4.111111e+00	1.444444e+00	-3.333333e-01	-1.222222e+00	-1.222222e+00	-3.333333e-01	1.444444e+00	4.111111e+00	7.666667e+00
7.000000e+00	3.444444e+00	7.777778e-01	-1.000000e+00	-1.888889e+00	-1.888889e+00	-1.000000e+00	7.777778e-01	3.444444e+00	7.000000e+00
6.333333e+00	2.777778e+00	1.111111e-01	-1.666667e+00	-2.555556e+00	-2.555556e+00	-1.666667e+00	1.111111e-01	2.777778e+00	6.333333e+00
5.666667e+00	2.111111e+00	-5.555556e-01	-2.333333e+00	-3.222222e+00	-3.222222e+00	-2.333333e+00	-5.555556e-01	2.111111e+00	5.666667e+00
5.000000e+00	1.444444e+00	-1.222222e+00	-3.000000e+00	-3.888889e+00	-3.888889e+00	-3.000000e+00	-1.222222e+00	1.444444e+00	5.000000e+00
