RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.099153e+00	7.720804e+01
2	4.180098e+00	7.901312e+01
3	4.247386e+00	8.051316e+01
4	4.304584e+00	8.177729e+01
5	4.354896e+00	8.285866e+01
6	4.401351e+00	8.380035e+01
7	4.446522e+00	8.462871e+01
8	4.489716e+00	8.535598e+01
9	4.529642e+00	8.599440e+01
10	4.565761e+00	8.655463e+01
11	4.597969e+00	8.704600e+01
12	4.626414e+00	8.747678e+01
13	4.651369e+00	8.785423e+01
14	4.673163e+00	8.818481e+01
15	4.692137e+00	8.847419e+01
16	4.708623e+00	8.872738e+01
17	4.722930e+00	8.894881e+01
18	4.735335e+00	8.914238e+01
19	4.746088e+00	8.931152e+01
20	4.755407e+00	8.945925e+01
