RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.103780e+00	7.747579e+01
2	4.203821e+00	7.964234e+01
3	4.296383e+00	8.150975e+01
4	4.378896e+00	8.308891e+01
5	4.450177e+00	8.439832e+01
6	4.510251e+00	8.546492e+01
7	4.559952e+00	8.632107e+01
8	4.600529e+00	8.700050e+01
9	4.633354e+00	8.753509e+01
10	4.659743e+00	8.795312e+01
11	4.680870e+00	8.827854e+01
12	4.697738e+00	8.853109e+01
13	4.711185e+00	8.872668e+01
14	4.721895e+00	8.887793e+01
15	4.730421e+00	8.899482e+01
16	4.737208e+00	8.908510e+01
17	4.742612e+00	8.915484e+01
18	4.746917e+00	8.920871e+01
19	4.750347e+00	8.925035e+01
20	4.753082e+00	8.928255e+01
