RTO_iter	cost	con
1	1.425000e+01	-1.250000e+00
2	6.944749e+00	-1.671288e+00
3	7.709260e-01	-8.412975e-01
4	1.927315e-01	-1.212828e-01
5	1.449874e-01	1.268320e-03
6	1.449874e-01	1.268313e-03
7	1.449874e-01	1.268320e-03
8	1.449874e-01	1.268319e-03
9	1.449874e-01	1.268321e-03
10	1.449874e-01	1.268322e-03
11	1.558090e-01	-2.565577e-02
12	1.457288e-01	1.314929e-03
13	1.457288e-01	1.314916e-03
14	1.454095e-01	1.204842e-04
15	1.471957e-01	-1.152885e-03
16	1.450424e-01	1.063539e-03
17	1.455974e-01	3.450781e-04
18	1.461252e-01	1.208924e-04
19	1.464537e-01	4.287885e-05
20	1.466387e-01	1.196189e-05
21	1.467485e-01	-2.820619e-06
22	1.465621e-01	2.707144e-05
23	1.466532e-01	1.284921e-05
24	1.466994e-01	6.328068e-06
25	1.467220e-01	3.290542e-06
