RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.259451e+00	8.118947e+01
2	4.479937e+00	8.524901e+01
3	4.617896e+00	8.748366e+01
4	4.691071e+00	8.854751e+01
5	4.727684e+00	8.902125e+01
6	4.745799e+00	8.922836e+01
7	4.754802e+00	8.931926e+01
8	4.759317e+00	8.935972e+01
9	4.761601e+00	8.937807e+01
10	4.762765e+00	8.938656e+01
11	4.763362e+00	8.939057e+01
12	4.763670e+00	8.939250e+01
13	4.763829e+00	8.939344e+01
14	4.763912e+00	8.939391e+01
15	4.763955e+00	8.939414e+01
16	4.763977e+00	8.939426e+01
17	4.763989e+00	8.939432e+01
18	4.763995e+00	8.939435e+01
19	4.763998e+00	8.939437e+01
20	4.764000e+00	8.939438e+01
