RTO_iter	Tr	Fb
0	7.500000e+01	4.000000e+00
1	8.118947e+01	4.259451e+00
2	8.524901e+01	4.479937e+00
3	8.748366e+01	4.617896e+00
4	8.854750e+01	4.691071e+00
5	8.902125e+01	4.727684e+00
6	8.922836e+01	4.745799e+00
7	8.931926e+01	4.754802e+00
8	8.935972e+01	4.759317e+00
9	8.937807e+01	4.761601e+00
10	8.938656e+01	4.762765e+00
11	8.939057e+01	4.763362e+00
12	8.939249e+01	4.763670e+00
13	8.939344e+01	4.763829e+00
14	8.939390e+01	4.763912e+00
15	8.939414e+01	4.763955e+00
16	8.939426e+01	4.763977e+00
17	8.939432e+01	4.763989e+00
18	8.939435e+01	4.763995e+00
19	8.939436e+01	4.763998e+00
20	8.939437e+01	4.764000e+00
