RTO_iter	Tr	Fb
0	7.500000e+01	4.000000e+00
1	7.973797e+01	4.107306e+00
2	8.288363e+01	4.276742e+00
3	8.503822e+01	4.423224e+00
4	8.653088e+01	4.532495e+00
5	8.757014e+01	4.610027e+00
6	8.829559e+01	4.664062e+00
7	8.880273e+01	4.701517e+00
8	8.915757e+01	4.727465e+00
9	8.940598e+01	4.745468e+00
10	8.957994e+01	4.757981e+00
11	8.970180e+01	4.766694e+00
12	8.978717e+01	4.772771e+00
13	8.984698e+01	4.777015e+00
14	8.988889e+01	4.779982e+00
15	8.991826e+01	4.782057e+00
16	8.993884e+01	4.783509e+00
17	8.995327e+01	4.784526e+00
18	8.996337e+01	4.785238e+00
19	8.997046e+01	4.785737e+00
20	8.997542e+01	4.786086e+00
