RTO_iter	Tr	Fb
0	7.500000e+01	4.000000e+00
1	7.809207e+01	4.371799e+00
2	8.022832e+01	4.565213e+00
3	8.165973e+01	4.669731e+00
4	8.260312e+01	4.727963e+00
5	8.321855e+01	4.761281e+00
6	8.361733e+01	4.780795e+00
7	8.387455e+01	4.792452e+00
8	8.403994e+01	4.799531e+00
9	8.414604e+01	4.803885e+00
10	8.421400e+01	4.806590e+00
11	8.425748e+01	4.808284e+00
12	8.428528e+01	4.809349e+00
13	8.430305e+01	4.810023e+00
14	8.431440e+01	4.810450e+00
15	8.432164e+01	4.810721e+00
16	8.432627e+01	4.810894e+00
17	8.432922e+01	4.811004e+00
18	8.433111e+01	4.811074e+00
19	8.433231e+01	4.811118e+00
20	8.433308e+01	4.811147e+00
