RTO_iter	Tr	Fb
0	7.500000e+01	4.000000e+00
1	7.993560e+01	4.063682e+00
2	8.319781e+01	4.231721e+00
3	8.535699e+01	4.386676e+00
4	8.676285e+01	4.501757e+00
5	8.766075e+01	4.580717e+00
6	8.822635e+01	4.632842e+00
7	8.857980e+01	4.666490e+00
8	8.879977e+01	4.687909e+00
9	8.893643e+01	4.701419e+00
10	8.902126e+01	4.709892e+00
11	8.907391e+01	4.715185e+00
12	8.910657e+01	4.718484e+00
13	8.912685e+01	4.720537e+00
14	8.913943e+01	4.721813e+00
15	8.914723e+01	4.722606e+00
16	8.915208e+01	4.723098e+00
17	8.915508e+01	4.723404e+00
18	8.915695e+01	4.723594e+00
19	8.915811e+01	4.723712e+00
20	8.915883e+01	4.723785e+00
