RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0							0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.546172e-01	1.000000e+00	1.325000e+01	1.325000e+01	-3.500000e+00	-3.500000e+00	-3.500000e+00	-1.000000e+00	3.500000e+00	0.000000e+00	0.000000e+00	-1.980000e+00
2	9.882688e-01	2.000000e+00	7.944074e+00	4.565342e+00	-3.073752e+00	-2.593532e+00	-3.143438e+00	-1.242536e+00	2.529857e+00	6.027183e-01	0.000000e+00	-2.950143e+00
3	9.882688e-01	4.000000e+00	1.986018e+00	1.157420e+00	-1.221313e+00	-5.525314e-01	-7.858595e-01	-1.264929e+00	6.212678e-01	6.702320e-01	0.000000e+00	-3.039715e+00
4	-1.000000e+00	4.000000e+00	4.965046e-01	2.893549e-01	2.710422e-01	-1.959510e+00	-1.964649e-01	-3.106339e-01	6.324644e-01	-4.282810e-01	-5.551115e-15	7.774643e-01
5	-1.000000e+00	2.000000e+00	2.713102e-01	1.008589e-01	5.458221e-01	-1.041541e-08						
6	-1.000000e+00	1.000000e+00	2.713102e-01	1.008589e-01	5.458221e-01	-1.965339e-08						
7	-1.000000e+00	5.000000e-01	2.713102e-01	1.008589e-01	5.458221e-01	-1.232479e-08						
8	-1.000000e+00	2.500000e-01	2.713102e-01	1.008589e-01	5.458221e-01	-4.884723e-09						
9	9.982319e-01	1.250000e-01	2.881980e-01	1.300060e-01	4.740158e-01	-1.004476e-08						
10	-1.000000e+00	2.500000e-01	3.549355e-01	1.963696e-01	3.951204e-01	-3.430075e-02	-1.583825e-01	-3.121004e-01	5.074729e-01	-4.293875e-01	0.000000e+00	7.715983e-01
11	-1.000000e+00	1.250000e-01	2.714506e-01	1.196410e-01	5.230912e-01	-8.394538e-10						
12	-1.000000e+00	6.250000e-02	2.899478e-01	1.392872e-01	4.711230e-01	-1.244160e-09						
13	1.003268e+00	3.125000e-02	3.094041e-01	1.605195e-01	4.433370e-01	-6.851049e-09						
14	-1.000000e+00	6.250000e-02	3.228883e-01	1.753617e-01	4.276733e-01	-3.966537e-08	-1.475959e-01	-3.098788e-01	4.763019e-01	-4.277079e-01	0.000000e+00	7.804847e-01
15	-1.000000e+00	3.125000e-02	3.000524e-01	1.513487e-01	4.555723e-01	4.164030e-10						
16	-1.000000e+00	1.562500e-02	3.106753e-01	1.624277e-01	4.417502e-01	6.735402e-09						
17	-1.000000e+00	7.812500e-03	3.165763e-01	1.686337e-01	4.347525e-01	1.095525e-09						
18	-1.000000e+00	3.906250e-03	3.196729e-01	1.719027e-01	4.312315e-01	1.135135e-09						
19	-1.000000e+00	1.953125e-03	3.212575e-01	1.735785e-01	4.294656e-01	1.139616e-09						
20	-1.000000e+00	9.765625e-04	3.220585e-01	1.744263e-01	4.285817e-01	1.110998e-09						
21	-1.000000e+00	4.882812e-04	3.224605e-01	1.748520e-01	4.281402e-01	1.034496e-09						
22	-1.000000e+00	2.441406e-04	3.226606e-01	1.750639e-01	4.279210e-01	8.720038e-10						
23	-1.000000e+00	1.220703e-04	3.227579e-01	1.751670e-01	4.278144e-01	5.568779e-10						
24	-1.000000e+00	6.103516e-05	3.228021e-01	1.752138e-01	4.277661e-01	5.903434e-11						
25		3.051758e-05	3.228192e-01	1.752319e-01	4.277474e-01	-4.240477e-10						
