RTO_iter	cost	con
1	9.750000e+00	-3.500000e+00
2	4.800636e+00	-2.471034e+00
3	1.200159e+00	-5.510806e-01
4	3.000397e-01	-1.572388e-01
5	1.600576e-01	4.873769e-02
6	1.600576e-01	4.873768e-02
7	1.600576e-01	4.873768e-02
8	1.600576e-01	4.873769e-02
9	1.442995e-01	8.097416e-03
10	1.965529e-01	-3.426712e-02
11	1.461786e-01	3.192469e-02
12	1.453827e-01	6.933190e-03
13	1.616011e-01	1.015249e-03
14	1.752925e-01	-3.460085e-05
15	1.531801e-01	3.263208e-03
16	1.628874e-01	1.007256e-03
17	1.687488e-01	3.434589e-04
18	1.719315e-01	1.310613e-04
19	1.735857e-01	5.518817e-05
20	1.744281e-01	2.489919e-05
21	1.748524e-01	1.169227e-05
22	1.750640e-01	5.610458e-06
23	1.751671e-01	2.767933e-06
24	1.752138e-01	1.503011e-06
25	1.752319e-01	1.018876e-06
26	1.752375e-01	8.682808e-07
27	1.752391e-01	8.276190e-07
28	1.752394e-01	8.172312e-07
29	1.752395e-01	8.146196e-07
30	1.752396e-01	8.139658e-07
