RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.047209e+00	7.970645e+01
2	4.173045e+00	8.256591e+01
3	4.347701e+00	8.468144e+01
4	4.542629e+00	8.745923e+01
5	4.567430e+00	8.725056e+01
6	4.323159e+00	8.572565e+01
7	4.425912e+00	8.570359e+01
8	4.406475e+00	8.630150e+01
9	4.678980e+00	8.862335e+01
10	4.830870e+00	9.004507e+01
11	4.671348e+00	8.887495e+01
12	4.630985e+00	8.901536e+01
13	4.601491e+00	8.881876e+01
14	4.687959e+00	8.899287e+01
15	4.790404e+00	8.979928e+01
16	4.904755e+00	9.071249e+01
17	4.616240e+00	8.814478e+01
18	4.811020e+00	8.901547e+01
19	4.936998e+00	9.074002e+01
20	4.976416e+00	9.094607e+01
