RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.118597e+00	7.987469e+01
2	4.248877e+00	8.272262e+01
3	4.417739e+00	8.486504e+01
4	4.615880e+00	8.744349e+01
5	4.610117e+00	8.751294e+01
6	4.335218e+00	8.601377e+01
7	4.455982e+00	8.619190e+01
8	4.447098e+00	8.665780e+01
9	4.745855e+00	8.889282e+01
10	4.897777e+00	9.028729e+01
11	4.704900e+00	8.934455e+01
12	4.670671e+00	8.945754e+01
13	4.641822e+00	8.935510e+01
14	4.738944e+00	8.967022e+01
15	4.853736e+00	9.042277e+01
16	4.974435e+00	9.128786e+01
17	4.640119e+00	8.897308e+01
18	4.873195e+00	8.984946e+01
19	5.015065e+00	9.119759e+01
20	5.042095e+00	9.152273e+01
