RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.356000e+00	8.027833e+01
2	4.542866e+00	8.348217e+01
3	4.649770e+00	8.557903e+01
4	4.721528e+00	8.755905e+01
5	4.743179e+00	8.804891e+01
6	4.730028e+00	8.816320e+01
7	4.749840e+00	8.822195e+01
8	4.753661e+00	8.878910e+01
9	4.786121e+00	8.965163e+01
10	4.803155e+00	9.016601e+01
11	4.785020e+00	9.002369e+01
12	4.779219e+00	9.030894e+01
13	4.775107e+00	9.043157e+01
14	4.787546e+00	9.043203e+01
15	4.798378e+00	9.059186e+01
16	4.809855e+00	9.076179e+01
17	4.782732e+00	9.000849e+01
18	4.803053e+00	8.998093e+01
19	4.814943e+00	9.041881e+01
20	4.815554e+00	9.045143e+01
