RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.236859e+00	7.976902e+01
2	4.388273e+00	8.271441e+01
3	4.522827e+00	8.482694e+01
4	4.656618e+00	8.701787e+01
5	4.668987e+00	8.749886e+01
6	4.538823e+00	8.710072e+01
7	4.613797e+00	8.730034e+01
8	4.614356e+00	8.783039e+01
9	4.779772e+00	8.923119e+01
10	4.859333e+00	9.013565e+01
11	4.757061e+00	8.977375e+01
12	4.737677e+00	9.001174e+01
13	4.723353e+00	9.008257e+01
14	4.780264e+00	9.026078e+01
15	4.842106e+00	9.067726e+01
16	4.904450e+00	9.114446e+01
17	4.735180e+00	8.986372e+01
18	4.858736e+00	9.020656e+01
19	4.928374e+00	9.095206e+01
20	4.936304e+00	9.111831e+01
