RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.343692e+00	7.999610e+01
2	4.528669e+00	8.298738e+01
3	4.635896e+00	8.489469e+01
4	4.708238e+00	8.676051e+01
5	4.733007e+00	8.704654e+01
6	4.723283e+00	8.702476e+01
7	4.742463e+00	8.697083e+01
8	4.745539e+00	8.752002e+01
9	4.776179e+00	8.837249e+01
10	4.793483e+00	8.884119e+01
11	4.778160e+00	8.862096e+01
12	4.772615e+00	8.889762e+01
13	4.769226e+00	8.899465e+01
14	4.781629e+00	8.895447e+01
15	4.791478e+00	8.910151e+01
16	4.802217e+00	8.925894e+01
17	4.778568e+00	8.843607e+01
18	4.795441e+00	8.841216e+01
19	4.805445e+00	8.889992e+01
20	4.806212e+00	8.892047e+01
