RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.064137e+00	7.935349e+01
2	4.186494e+00	8.208786e+01
3	4.357502e+00	8.422238e+01
4	4.554033e+00	8.675457e+01
5	4.571839e+00	8.705994e+01
6	4.331623e+00	8.591910e+01
7	4.451541e+00	8.612429e+01
8	4.442501e+00	8.660853e+01
9	4.724286e+00	8.865659e+01
10	4.873418e+00	9.001779e+01
11	4.701579e+00	8.928902e+01
12	4.669886e+00	8.944762e+01
13	4.644663e+00	8.939247e+01
14	4.739354e+00	8.968581e+01
15	4.849415e+00	9.038864e+01
16	4.966480e+00	9.121164e+01
17	4.660468e+00	8.917482e+01
18	4.879484e+00	8.992422e+01
19	5.010735e+00	9.116430e+01
20	5.039008e+00	9.150089e+01
