RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.368383e+00	7.808511e+01
2	4.563014e+00	8.023597e+01
3	4.668145e+00	8.167211e+01
4	4.726814e+00	8.261339e+01
5	4.760683e+00	8.322764e+01
6	4.780921e+00	8.363158e+01
7	4.793683e+00	8.389400e+01
8	4.801141e+00	8.405977e+01
9	4.805737e+00	8.416792e+01
10	4.808446e+00	8.422986e+01
11	4.810432e+00	8.427832e+01
12	4.810307e+00	8.429783e+01
13	4.811503e+00	8.431764e+01
14	4.812678e+00	8.433638e+01
15	4.813229e+00	8.434319e+01
16	4.813063e+00	8.434819e+01
17	4.813512e+00	8.436241e+01
18	4.813609e+00	8.435818e+01
19	4.813663e+00	8.435667e+01
20	4.814908e+00	8.436633e+01
