RTO_iter	rho	tr	tr_adjusted	event	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
10	9.247899e-01	2.560000e-01	5.120000e-01		-1.840712e+02	-2.094280e+02	4.083782e+01	4.073127e-07	1.204520e-01	3.809911e-01	2.766168e-01	9.649259e-02	1.254475e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.527156e+01	-4.519788e+01	3.847276e+01	-1.737088e+01	-4.083799e+01	-3.870227e-02	-8.791135e-02	-8.998837e-01
11	9.421308e-01	5.120000e-01	1.000000e+00	trust region too large	-1.838254e+02	-2.097032e+02	4.090204e+01	4.082497e-07	1.183152e-01	3.823889e-01	2.770159e-01	9.662191e-02	1.256581e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.585075e+01	-4.597728e+01	3.841352e+01	-1.721297e+01	-4.090209e+01	-3.839509e-02	-8.742598e-02	-9.006522e-01
12	9.710748e-01	1.000000e+00	1.000000e+00	trust region too large	-1.836289e+02	-2.097901e+02	4.094910e+01	4.088860e-07	1.171815e-01	3.831980e-01	2.771864e-01	9.667274e-02	1.257614e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.615461e+01	-4.640426e+01	3.839493e+01	-1.715274e+01	-4.094912e+01	-3.828312e-02	-8.726989e-02	-9.011924e-01
13	1.000362e+00	1.000000e+00	1.000000e+00	trust region too large	-1.834559e+02	-2.098306e+02	4.098746e+01	4.093539e-07	1.165629e-01	3.836654e-01	2.772559e-01	9.668404e-02	1.258318e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.637336e+01	-4.664819e+01	3.839055e+01	-1.713950e+01	-4.098747e+01	-3.826158e-02	-8.726896e-02	-9.016181e-01
14	1.015642e+00	1.000000e+00	1.000000e+00	trust region too large	-1.832940e+02	-2.098590e+02	4.102116e+01	4.097360e-07	1.162079e-01	3.839453e-01	2.772793e-01	9.667568e-02	1.258919e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.656502e+01	-4.679729e+01	3.839167e+01	-1.714846e+01	-4.102116e+01	-3.828264e-02	-8.734133e-02	-9.019836e-01
15	1.021468e+00	1.000000e+00	1.000000e+00	trust region too large	-1.831390e+02	-2.098835e+02	4.105216e+01	4.100722e-07	1.159851e-01	3.841281e-01	2.772811e-01	9.665797e-02	1.259477e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.674484e+01	-4.689866e+01	3.839473e+01	-1.716815e+01	-4.105216e+01	-3.832346e-02	-8.744743e-02	-9.023153e-01
16	1.023610e+00	1.000000e+00	1.000000e+00	trust region too large	-1.829890e+02	-2.099061e+02	4.108144e+01	4.103817e-07	1.158295e-01	3.842609e-01	2.772727e-01	9.663600e-02	1.260010e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.691754e+01	-4.697548e+01	3.839863e+01	-1.719271e+01	-4.108144e+01	-3.837317e-02	-8.756835e-02	-9.026261e-01
17	1.024444e+00	1.000000e+00	1.000000e+00	trust region too large	-1.828429e+02	-2.099273e+02	4.110949e+01	4.106741e-07	1.157084e-01	3.843675e-01	2.772595e-01	9.661226e-02	1.260524e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.708484e+01	-4.703935e+01	3.840287e+01	-1.721929e+01	-4.110949e+01	-3.842648e-02	-8.769485e-02	-9.029226e-01
18	1.024787e+00	1.000000e+00	1.000000e+00	trust region too large	-1.827004e+02	-2.099474e+02	4.113656e+01	4.109543e-07	1.156057e-01	3.844599e-01	2.772442e-01	9.658801e-02	1.261022e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.724751e+01	-4.709607e+01	3.840719e+01	-1.724650e+01	-4.113657e+01	-3.848081e-02	-8.782240e-02	-9.032080e-01
19	1.024928e+00	1.000000e+00	1.000000e+00	trust region too large	-1.825610e+02	-2.099665e+02	4.116280e+01	4.112248e-07	1.155135e-01	3.845441e-01	2.772280e-01	9.656382e-02	1.261506e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.740590e+01	-4.714853e+01	3.841149e+01	-1.727365e+01	-4.116281e+01	-3.853490e-02	-8.794883e-02	-9.034841e-01
