RTO_iter	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-7.752530e+01	-3.276256e-02	1.295174e-01	4.930493e-01	2.141127e-01	9.131054e-02	4.723744e-02
2	-1.690519e+02	-1.445754e-02	1.539431e-01	4.218622e-01	2.350286e-01	9.566679e-02	6.554246e-02
3	-1.956403e+02	-4.862809e-03	1.537701e-01	3.993365e-01	2.461844e-01	9.804645e-02	7.513719e-02
4	-2.031464e+02	-1.825073e-03	1.441693e-01	4.010381e-01	2.512605e-01	9.957193e-02	7.817493e-02
5	-2.058342e+02	-3.950399e-04	1.404347e-01	4.013766e-01	2.533627e-01	1.001464e-01	7.960496e-02
6	-2.065162e+02	-1.309200e-04	1.381092e-01	4.031017e-01	2.539342e-01	1.003441e-01	7.986908e-02
7	-2.068131e+02	-7.713762e-05	1.371069e-01	4.041366e-01	2.540239e-01	1.003710e-01	7.992286e-02
8	-2.070271e+02	-6.460689e-05	1.366301e-01	4.047952e-01	2.539718e-01	1.003408e-01	7.993539e-02
9	-2.072178e+02	-5.851401e-05	1.363500e-01	4.052863e-01	2.538801e-01	1.002929e-01	7.994149e-02
10	-2.073946e+02	-5.390925e-05	1.361406e-01	4.057090e-01	2.537787e-01	1.002407e-01	7.994609e-02
11	-2.075599e+02	-4.991442e-05	1.359590e-01	4.060994e-01	2.536767e-01	1.001883e-01	7.995009e-02
12	-2.077149e+02	-4.631532e-05	1.357907e-01	4.064701e-01	2.535770e-01	1.001373e-01	7.995368e-02
13	-2.078602e+02	-4.303298e-05	1.356307e-01	4.068256e-01	2.534802e-01	1.000878e-01	7.995697e-02
14	-2.079968e+02	-4.002479e-05	1.354772e-01	4.071681e-01	2.533867e-01	1.000400e-01	7.995998e-02
15	-2.081250e+02	-3.723672e-05	1.353288e-01	4.074987e-01	2.532964e-01	9.999397e-02	7.996276e-02
16	-2.082455e+02	-3.469662e-05	1.351859e-01	4.078178e-01	2.532091e-01	9.994947e-02	7.996530e-02
17	-2.083589e+02	-3.235497e-05	1.350479e-01	4.081260e-01	2.531247e-01	9.990649e-02	7.996765e-02
18	-2.084656e+02	-3.019335e-05	1.349146e-01	4.084239e-01	2.530431e-01	9.986497e-02	7.996981e-02
19	-2.085660e+02	-2.819545e-05	1.347857e-01	4.087119e-01	2.529642e-01	9.982484e-02	7.997180e-02
20	-2.086607e+02	-2.634679e-05	1.346610e-01	4.089906e-01	2.528879e-01	9.978606e-02	7.997365e-02
21	-2.087498e+02	-2.463439e-05	1.345403e-01	4.092602e-01	2.528140e-01	9.974855e-02	7.997537e-02
22	-2.088339e+02	-2.304661e-05	1.344235e-01	4.095211e-01	2.527425e-01	9.971226e-02	7.997695e-02
23	-2.089131e+02	-2.157296e-05	1.343105e-01	4.097737e-01	2.526733e-01	9.967716e-02	7.997843e-02
24	-2.089879e+02	-2.020399e-05	1.342009e-01	4.100184e-01	2.526062e-01	9.964318e-02	7.997980e-02
25	-2.090585e+02	-1.893112e-05	1.340948e-01	4.102554e-01	2.525413e-01	9.961027e-02	7.998107e-02
26	-2.091251e+02	-1.774663e-05	1.339920e-01	4.104850e-01	2.524783e-01	9.957841e-02	7.998225e-02
27	-2.091880e+02	-1.664347e-05	1.338924e-01	4.107075e-01	2.524173e-01	9.954754e-02	7.998336e-02
28	-2.092475e+02	-1.561527e-05	1.337958e-01	4.109233e-01	2.523582e-01	9.951763e-02	7.998438e-02
29	-2.093037e+02	-1.465621e-05	1.337021e-01	4.111324e-01	2.523008e-01	9.948864e-02	7.998534e-02
30	-2.093568e+02	-1.376101e-05	1.336113e-01	4.113353e-01	2.522452e-01	9.946053e-02	7.998624e-02
31	-2.094070e+02	-1.292484e-05	1.335232e-01	4.115321e-01	2.521913e-01	9.943328e-02	7.998708e-02
32	-2.094544e+02	-1.214329e-05	1.334377e-01	4.117230e-01	2.521389e-01	9.940684e-02	7.998786e-02
33	-2.094994e+02	-1.141232e-05	1.333547e-01	4.119083e-01	2.520881e-01	9.938120e-02	7.998859e-02
34	-2.095419e+02	-1.072825e-05	1.332741e-01	4.120881e-01	2.520388e-01	9.935631e-02	7.998927e-02
35	-2.095821e+02	-1.008769e-05	1.331959e-01	4.122626e-01	2.519909e-01	9.933216e-02	7.998991e-02
36	-2.096202e+02	-9.487529e-06	1.331200e-01	4.124321e-01	2.519445e-01	9.930872e-02	7.999051e-02
37	-2.096563e+02	-8.924916e-06	1.330463e-01	4.125967e-01	2.518993e-01	9.928596e-02	7.999108e-02
38	-2.096904e+02	-8.397221e-06	1.329747e-01	4.127566e-01	2.518555e-01	9.926386e-02	7.999160e-02
39	-2.097228e+02	-7.902029e-06	1.329051e-01	4.129119e-01	2.518129e-01	9.924240e-02	7.999210e-02
40	-2.097535e+02	-7.437110e-06	1.328375e-01	4.130627e-01	2.517715e-01	9.922155e-02	7.999256e-02
41	-2.097825e+02	-7.000406e-06	1.327718e-01	4.132093e-01	2.517312e-01	9.920129e-02	7.999300e-02
42	-2.098101e+02	-6.590019e-06	1.327080e-01	4.133518e-01	2.516921e-01	9.918160e-02	7.999341e-02
43	-2.098362e+02	-6.204193e-06	1.326459e-01	4.134903e-01	2.516541e-01	9.916248e-02	7.999380e-02
44	-2.098609e+02	-5.841305e-06	1.325856e-01	4.136249e-01	2.516172e-01	9.914388e-02	7.999416e-02
45	-2.098844e+02	-5.499851e-06	1.325270e-01	4.137558e-01	2.515813e-01	9.912581e-02	7.999450e-02
46	-2.099067e+02	-5.178438e-06	1.324699e-01	4.138831e-01	2.515464e-01	9.910823e-02	7.999482e-02
