RTO_iter	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
17	-2.099158e+02	-5.050017e-06	1.324494e-01	4.139333e-01	2.515312e-01	9.910060e-02	7.999495e-02
18	-2.099365e+02	-4.753629e-06	1.323930e-01	4.140570e-01	2.514979e-01	9.908387e-02	7.999525e-02
19	-2.099561e+02	-4.475015e-06	1.323389e-01	4.141767e-01	2.514654e-01	9.906752e-02	7.999552e-02
20	-2.099747e+02	-4.212713e-06	1.322866e-01	4.142928e-01	2.514337e-01	9.905159e-02	7.999579e-02
21	-2.099924e+02	-3.965548e-06	1.322359e-01	4.144056e-01	2.514028e-01	9.903607e-02	7.999603e-02
22	-2.100092e+02	-3.732505e-06	1.321867e-01	4.145152e-01	2.513728e-01	9.902096e-02	7.999627e-02
23	-2.100251e+02	-3.512679e-06	1.321389e-01	4.146219e-01	2.513435e-01	9.900626e-02	7.999649e-02
24	-2.100402e+02	-3.305240e-06	1.320924e-01	4.147256e-01	2.513150e-01	9.899195e-02	7.999669e-02
25	-2.100546e+02	-3.109426e-06	1.320471e-01	4.148266e-01	2.512873e-01	9.897802e-02	7.999689e-02
26	-2.100682e+02	-2.924528e-06	1.320031e-01	4.149249e-01	2.512603e-01	9.896446e-02	7.999708e-02
27	-2.100812e+02	-2.749886e-06	1.319602e-01	4.150206e-01	2.512340e-01	9.895127e-02	7.999725e-02
28	-2.100935e+02	-2.584886e-06	1.319185e-01	4.151137e-01	2.512085e-01	9.893842e-02	7.999742e-02
29	-2.101052e+02	-2.428955e-06	1.318778e-01	4.152044e-01	2.511835e-01	9.892592e-02	7.999757e-02
30	-2.101163e+02	-2.281555e-06	1.318382e-01	4.152927e-01	2.511593e-01	9.891374e-02	7.999772e-02
31	-2.101268e+02	-2.142186e-06	1.317997e-01	4.153787e-01	2.511357e-01	9.890188e-02	7.999786e-02
32	-2.101369e+02	-2.010378e-06	1.317622e-01	4.154624e-01	2.511127e-01	9.889034e-02	7.999799e-02
33	-2.101464e+02	-1.885693e-06	1.317256e-01	4.155439e-01	2.510903e-01	9.887909e-02	7.999811e-02
34	-2.101555e+02	-1.767718e-06	1.316900e-01	4.156234e-01	2.510684e-01	9.886814e-02	7.999823e-02
35	-2.101641e+02	-1.656069e-06	1.316553e-01	4.157008e-01	2.510472e-01	9.885747e-02	7.999834e-02
36	-2.101723e+02	-1.550382e-06	1.316216e-01	4.157761e-01	2.510265e-01	9.884708e-02	7.999845e-02
37	-2.101801e+02	-1.450321e-06	1.315886e-01	4.158496e-01	2.510063e-01	9.883695e-02	7.999855e-02
38	-2.101875e+02	-1.355565e-06	1.315566e-01	4.159211e-01	2.509866e-01	9.882709e-02	7.999864e-02
39	-2.101945e+02	-1.265816e-06	1.315253e-01	4.159908e-01	2.509675e-01	9.881748e-02	7.999873e-02
40	-2.102013e+02	-1.180794e-06	1.314949e-01	4.160587e-01	2.509488e-01	9.880812e-02	7.999882e-02
41	-2.102076e+02	-1.100235e-06	1.314652e-01	4.161249e-01	2.509306e-01	9.879899e-02	7.999890e-02
42	-2.102137e+02	-1.023891e-06	1.314363e-01	4.161894e-01	2.509129e-01	9.879010e-02	7.999898e-02
43	-2.102195e+02	-9.515290e-07	1.314081e-01	4.162523e-01	2.508956e-01	9.878144e-02	7.999905e-02
44	-2.102250e+02	-8.829297e-07	1.313807e-01	4.163136e-01	2.508787e-01	9.877299e-02	7.999912e-02
45	-2.102302e+02	-8.178874e-07	1.313539e-01	4.163733e-01	2.508623e-01	9.876476e-02	7.999918e-02
46	-2.102352e+02	-7.562069e-07	1.313278e-01	4.164315e-01	2.508463e-01	9.875673e-02	7.999924e-02
47	-2.102399e+02	-6.977065e-07	1.313024e-01	4.164882e-01	2.508307e-01	9.874891e-02	7.999930e-02
48	-2.102444e+02	-6.422133e-07	1.312776e-01	4.165436e-01	2.508155e-01	9.874129e-02	7.999936e-02
49	-2.102487e+02	-5.895655e-07	1.312534e-01	4.165975e-01	2.508007e-01	9.873386e-02	7.999941e-02
50	-2.102527e+02	-5.396096e-07	1.312298e-01	4.166501e-01	2.507862e-01	9.872661e-02	7.999946e-02
51	-2.102566e+02	-4.922021e-07	1.312069e-01	4.167013e-01	2.507721e-01	9.871954e-02	7.999951e-02
52	-2.102603e+02	-4.472065e-07	1.311845e-01	4.167513e-01	2.507583e-01	9.871266e-02	7.999955e-02
53	-2.102638e+02	-4.044950e-07	1.311626e-01	4.168001e-01	2.507449e-01	9.870594e-02	7.999960e-02
54	-2.102672e+02	-3.639460e-07	1.311413e-01	4.168476e-01	2.507319e-01	9.869939e-02	7.999964e-02
55	-2.102704e+02	-3.254455e-07	1.311205e-01	4.168939e-01	2.507191e-01	9.869300e-02	7.999967e-02
56	-2.102734e+02	-2.888859e-07	1.311003e-01	4.169391e-01	2.507067e-01	9.868677e-02	7.999971e-02
57	-2.102763e+02	-2.541652e-07	1.310805e-01	4.169832e-01	2.506946e-01	9.868070e-02	7.999975e-02
58	-2.102790e+02	-2.211868e-07	1.310613e-01	4.170262e-01	2.506827e-01	9.867478e-02	7.999978e-02
59	-2.102817e+02	-1.898606e-07	1.310425e-01	4.170681e-01	2.506712e-01	9.866900e-02	7.999981e-02
60	-2.102841e+02	-1.600998e-07	1.310241e-01	4.171090e-01	2.506600e-01	9.866336e-02	7.999984e-02
61	-2.102865e+02	-1.318240e-07	1.310063e-01	4.171489e-01	2.506490e-01	9.865787e-02	7.999987e-02
62	-2.102888e+02	-1.049557e-07	1.309888e-01	4.171878e-01	2.506383e-01	9.865251e-02	7.999990e-02
63	-2.102909e+02	-7.942284e-08	1.309718e-01	4.172257e-01	2.506278e-01	9.864728e-02	7.999992e-02
64	-2.102930e+02	-5.515679e-08	1.309552e-01	4.172628e-01	2.506176e-01	9.864217e-02	7.999994e-02
65	-2.102949e+02	-3.209205e-08	1.309390e-01	4.172989e-01	2.506077e-01	9.863720e-02	7.999997e-02
66	-2.102968e+02	-1.016748e-08	1.309232e-01	4.173341e-01	2.505980e-01	9.863234e-02	7.999999e-02
67	-2.102986e+02	1.067511e-08	1.309078e-01	4.173685e-01	2.505886e-01	9.862761e-02	8.000001e-02
68	-2.102986e+02	1.067511e-08	1.309078e-01	4.173685e-01	2.505886e-01	9.862761e-02	8.000001e-02
69	-2.102986e+02	1.067511e-08	1.309078e-01	4.173685e-01	2.505886e-01	9.862761e-02	8.000001e-02
70	-2.102986e+02	1.067511e-08	1.309078e-01	4.173685e-01	2.505886e-01	9.862761e-02	8.000001e-02
71	-2.102986e+02	1.067511e-08	1.309078e-01	4.173685e-01	2.505886e-01	9.862761e-02	8.000001e-02
72	-2.102986e+02	1.067511e-08	1.309078e-01	4.173685e-01	2.505886e-01	9.862761e-02	8.000001e-02
73	-2.102986e+02	1.067511e-08	1.309078e-01	4.173685e-01	2.505886e-01	9.862761e-02	8.000001e-02
74	-2.102986e+02	1.067512e-08	1.309078e-01	4.173685e-01	2.505886e-01	9.862761e-02	8.000001e-02
75	-2.102986e+02	1.067515e-08	1.309078e-01	4.173685e-01	2.505886e-01	9.862761e-02	8.000001e-02
76	-2.102986e+02	1.067517e-08	1.309078e-01	4.173685e-01	2.505886e-01	9.862761e-02	8.000001e-02
77	-2.102986e+02	1.067542e-08	1.309078e-01	4.173685e-01	2.505886e-01	9.862761e-02	8.000001e-02
78	-2.102986e+02	1.067910e-08	1.309078e-01	4.173685e-01	2.505886e-01	9.862761e-02	8.000001e-02
79	-2.102985e+02	9.670502e-08	1.308744e-01	4.173951e-01	2.505965e-01	9.863153e-02	8.000010e-02
80	-2.102984e+02	2.143258e-07	1.308650e-01	4.173990e-01	2.506009e-01	9.863369e-02	8.000021e-02
