RTO_iter	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
53	-2.100991e+02	-2.509756e-06	1.318990e-01	4.151571e-01	2.511965e-01	9.893244e-02	7.999749e-02
54	-2.101105e+02	-2.357941e-06	1.318589e-01	4.152466e-01	2.511720e-01	9.892009e-02	7.999764e-02
55	-2.101213e+02	-2.214414e-06	1.318198e-01	4.153338e-01	2.511480e-01	9.890807e-02	7.999779e-02
56	-2.101317e+02	-2.078693e-06	1.317818e-01	4.154187e-01	2.511247e-01	9.889636e-02	7.999792e-02
57	-2.101415e+02	-1.950319e-06	1.317447e-01	4.155014e-01	2.511020e-01	9.888496e-02	7.999805e-02
58	-2.101508e+02	-1.828869e-06	1.317086e-01	4.155819e-01	2.510798e-01	9.887385e-02	7.999817e-02
59	-2.101596e+02	-1.713945e-06	1.316734e-01	4.156604e-01	2.510583e-01	9.886304e-02	7.999829e-02
60	-2.101680e+02	-1.605170e-06	1.316392e-01	4.157368e-01	2.510373e-01	9.885250e-02	7.999839e-02
61	-2.101760e+02	-1.502195e-06	1.316058e-01	4.158112e-01	2.510168e-01	9.884224e-02	7.999850e-02
62	-2.101837e+02	-1.404691e-06	1.315733e-01	4.158838e-01	2.509969e-01	9.883224e-02	7.999860e-02
63	-2.101909e+02	-1.312348e-06	1.315416e-01	4.159544e-01	2.509775e-01	9.882250e-02	7.999869e-02
64	-2.101978e+02	-1.224877e-06	1.315108e-01	4.160233e-01	2.509585e-01	9.881300e-02	7.999878e-02
65	-2.102043e+02	-1.142006e-06	1.314807e-01	4.160904e-01	2.509401e-01	9.880376e-02	7.999886e-02
66	-2.102105e+02	-1.063478e-06	1.314514e-01	4.161558e-01	2.509221e-01	9.879474e-02	7.999894e-02
67	-2.102165e+02	-9.890526e-07	1.314228e-01	4.162195e-01	2.509046e-01	9.878596e-02	7.999901e-02
68	-2.102221e+02	-9.185038e-07	1.313950e-01	4.162816e-01	2.508875e-01	9.877740e-02	7.999908e-02
69	-2.102275e+02	-8.516182e-07	1.313679e-01	4.163421e-01	2.508709e-01	9.876906e-02	7.999915e-02
70	-2.102326e+02	-7.881956e-07	1.313414e-01	4.164011e-01	2.508547e-01	9.876092e-02	7.999921e-02
