RTO_iter	Fa	Fb	Tr
0	3.600000e+00	1.000000e+01	8.500000e+01
1	3.000000e+00	7.855141e+00	9.010484e+01
2	3.000000e+00	7.855141e+00	9.010484e+01
3	3.398254e+00	8.994289e+00	9.214385e+01
4	4.500000e+00	9.180396e+00	8.982272e+01
5	3.988535e+00	8.988728e+00	9.009047e+01
6	3.681558e+00	8.969202e+00	9.084899e+01
7	3.535144e+00	8.975602e+00	9.141398e+01
8	3.677415e+00	8.965893e+00	9.077527e+01
9	3.822280e+00	9.006649e+00	9.035476e+01
10	3.682554e+00	9.037213e+00	9.098386e+01
11	3.755904e+00	9.033140e+00	9.067052e+01
12	3.806064e+00	9.093045e+00	9.066943e+01
13	3.738906e+00	9.115603e+00	9.099888e+01
14	3.776149e+00	9.111562e+00	9.083945e+01
15	3.792113e+00	9.103802e+00	9.075435e+01
16	3.785170e+00	9.120341e+00	9.083227e+01
17	3.797822e+00	9.135254e+00	9.083194e+01
18	3.801364e+00	9.153940e+00	9.087753e+01
19	3.811599e+00	9.170544e+00	9.089165e+01
20	3.815204e+00	9.189227e+00	9.093685e+01
21	3.811946e+00	9.179941e+00	9.091983e+01
22	3.811505e+00	9.175289e+00	9.090687e+01
23	3.812404e+00	9.180052e+00	9.091847e+01
24	3.813828e+00	9.184735e+00	9.092786e+01
25	3.817835e+00	9.193603e+00	9.094079e+01
26	3.827707e+00	9.210409e+00	9.095685e+01
27	3.821379e+00	9.202632e+00	9.095592e+01
28	3.831501e+00	9.219301e+00	9.097061e+01
29	3.825007e+00	9.211634e+00	9.097064e+01
30	3.835231e+00	9.228246e+00	9.098477e+01
31	3.828612e+00	9.220644e+00	9.098546e+01
32	3.838993e+00	9.237165e+00	9.099872e+01
33	3.832225e+00	9.229651e+00	9.100023e+01
34	3.829960e+00	9.225343e+00	9.099515e+01
35	3.829203e+00	9.223152e+00	9.099111e+01
36	3.828934e+00	9.222148e+00	9.098897e+01
37	3.828842e+00	9.221762e+00	9.098810e+01
38	3.828815e+00	9.221642e+00	9.098782e+01
39	3.828808e+00	9.221610e+00	9.098775e+01
40	3.828806e+00	9.221601e+00	9.098773e+01
41	3.828806e+00	9.221599e+00	9.098773e+01
42	3.828805e+00	9.221599e+00	9.098773e+01
43	3.828805e+00	9.221599e+00	9.098773e+01
44	3.828805e+00	9.221599e+00	9.098773e+01
45	3.828805e+00	9.221599e+00	9.098773e+01
46	3.828805e+00	9.221599e+00	9.098773e+01
47	3.828805e+00	9.221599e+00	9.098773e+01
48	3.828805e+00	9.221599e+00	9.098773e+01
49	3.828805e+00	9.221599e+00	9.098773e+01
50	3.828805e+00	9.221599e+00	9.098773e+01
51	3.828805e+00	9.221599e+00	9.098773e+01
52	3.828805e+00	9.221599e+00	9.098773e+01
53	3.828805e+00	9.221599e+00	9.098773e+01
54	3.828805e+00	9.221599e+00	9.098773e+01
55	3.828805e+00	9.221599e+00	9.098773e+01
56	3.828805e+00	9.221599e+00	9.098773e+01
57	3.828805e+00	9.221599e+00	9.098773e+01
58	3.828805e+00	9.221599e+00	9.098773e+01
59	3.828805e+00	9.221599e+00	9.098773e+01
60	3.828805e+00	9.221599e+00	9.098773e+01
61	3.828805e+00	9.221599e+00	9.098773e+01
62	3.828805e+00	9.221599e+00	9.098773e+01
63	3.828805e+00	9.221599e+00	9.098773e+01
64	3.828805e+00	9.221599e+00	9.098773e+01
65	3.828805e+00	9.221599e+00	9.098773e+01
66	3.828805e+00	9.221599e+00	9.098773e+01
67	3.828805e+00	9.221599e+00	9.098773e+01
68	3.828805e+00	9.221599e+00	9.098773e+01
69	3.828805e+00	9.221599e+00	9.098773e+01
70	3.828805e+00	9.221599e+00	9.098773e+01
71	3.828805e+00	9.221599e+00	9.098773e+01
72	3.828805e+00	9.221599e+00	9.098773e+01
73	3.828805e+00	9.221599e+00	9.098773e+01
74	3.828805e+00	9.221599e+00	9.098773e+01
75	3.828805e+00	9.221599e+00	9.098773e+01
76	3.828805e+00	9.221599e+00	9.098773e+01
77	3.828805e+00	9.221599e+00	9.098773e+01
78	3.828805e+00	9.221599e+00	9.098773e+01
79	3.828805e+00	9.221599e+00	9.098773e+01
80	3.828805e+00	9.221599e+00	9.098773e+01
