RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
14	6.294929e-01	8.000000e-03	8.000000e-03				-2.106318e+01		-1.766011e+02	-2.106320e+02	4.795921e-02	2.226758e-08	1.175547e-01	3.833965e-01	2.758285e-01	9.526116e-02	1.279592e-01												
15	-3.266860e-03	8.000000e-03	4.000000e-03		-2.103579e+02	2.148080e-05	-2.104463e+01	-2.101431e+01	-1.758006e+02	-2.104465e+02	4.819389e-02	1.713854e-08	1.133657e-01	3.867711e-01	2.762671e-01	9.540224e-02	1.281939e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.455730e+01	-4.874229e+01	3.859609e+01	-1.861294e+01	-4.817241e-02	-1.706888e-03	5.969367e-04	-1.757947e-03
16	6.803282e-01	4.000000e-03	4.000000e-03				-2.103897e+01		-1.746580e+02	-2.103899e+02	4.845846e-02	1.905188e-08	1.093949e-01	3.899549e-01	2.766742e-01	9.551759e-02	1.284585e-01												
17	-2.181667e-01	4.000000e-03	2.000000e-03		-2.103295e+02	4.544897e-06	-2.103503e+01	-2.102841e+01	-1.752344e+02	-2.103505e+02	4.832476e-02	1.824069e-08	1.112911e-01	3.884532e-01	2.764705e-01	9.546035e-02	1.283248e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.509514e+01	-4.956877e+01	3.857355e+01	-1.852722e+01	-4.832021e-02	-1.937571e-03	6.857467e-04	-1.752715e-03
18	6.229690e-01	2.000000e-03	2.000000e-03				-2.103453e+01		-1.759957e+02	-2.103455e+02	4.812914e-02	1.905319e-08	1.135340e-01	3.866558e-01	2.762605e-01	9.542054e-02	1.281291e-01												
19	3.234719e-01	2.000000e-03	2.000000e-03		-2.103285e+02	1.371802e-06	-2.103333e+01	-2.103147e+01	-1.756726e+02	-2.103335e+02	4.821288e-02	1.826705e-08	1.124226e-01	3.875467e-01	2.763703e-01	9.544751e-02	1.282129e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.465583e+01	-4.910588e+01	3.858922e+01	-1.855519e+01	-4.821151e-02	-1.810327e-03	6.366250e-04	-1.755380e-03
20	-3.221634e-01	2.000000e-03	1.000000e-03		-2.103271e+02	7.169943e-07	-2.103307e+01	-2.103199e+01	-1.755095e+02	-2.103309e+02	4.825187e-02	1.906225e-08	1.116098e-01	3.881902e-01	2.764658e-01	9.548229e-02	1.282519e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.481758e+01	-4.942261e+01	3.857515e+01	-1.850561e+01	-4.825116e-02	-1.899763e-03	6.703459e-04	-1.753051e-03
21	5.551987e-01	1.000000e-03	1.000000e-03				-2.103340e+01		-1.759266e+02	-2.103342e+02	4.814620e-02	1.905945e-08	1.127433e-01	3.872780e-01	2.763653e-01	9.546727e-02	1.281462e-01												
22	9.359063e-01	1.000000e-03	2.000000e-03		-2.103290e+02	3.541931e-07	-2.103300e+01	-2.103255e+01	-1.757354e+02	-2.103302e+02	4.819490e-02	2.128269e-08	1.121721e-01	3.877368e-01	2.764185e-01	9.547763e-02	1.281949e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.459368e+01	-4.919160e+01	3.858207e+01	-1.851714e+01	-4.819455e-02	-1.836248e-03	6.457281e-04	-1.754323e-03
23	-8.122872e+00	2.000000e-03	1.000000e-03		-2.103295e+02	3.859422e-08	-2.103293e+01	-2.103291e+01	-1.757874e+02	-2.103295e+02	4.818039e-02	2.093518e-08	1.120501e-01	3.878273e-01	2.764460e-01	9.549621e-02	1.281804e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.454203e+01	-4.923075e+01	3.857802e+01	-1.849366e+01	-4.818035e-02	-1.848588e-03	6.499056e-04	-1.753724e-03
