RTO_iter	merit	base_merit	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
44	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
45	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
46	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
47	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
48	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
49	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
50	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
51	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
52	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
53	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
54	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
55	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
56	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
57	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
58	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
59	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
60	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
61	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
62	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
63	-2.103303e+01		-2.103326e+02	2.329762e-08	1.302908e-01	4.188912e-01	2.501228e-01	9.839472e-02	8.000002e-02
