RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
15	-3.508359e-01	5.000000e-03	2.500000e-03		-2.102881e+02	4.067408e-06	-2.103108e+01	-2.102474e+01	-1.738429e+02	-2.103108e+02	4.867519e-02	8.993446e-10	1.106307e-01	3.890828e-01	2.763354e-01	9.527596e-02	1.286752e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.644517e+01	-4.995841e+01	3.859527e+01	-1.874023e+01	-4.867113e-02	-2.027078e-03	7.267336e-04	-1.754505e-03
16	5.440575e-01	2.500000e-03	2.500000e-03				-2.103328e+01		-1.748945e+02	-2.103328e+02	4.841679e-02	8.993833e-10	1.134294e-01	3.868202e-01	2.760928e-01	9.524080e-02	1.284168e-01												
17	9.538548e-01	2.500000e-03	5.000000e-03		-2.103007e+02	2.051603e-06	-2.103077e+01	-2.102802e+01	-1.744274e+02	-2.103077e+02	4.853373e-02	8.993403e-10	1.120102e-01	3.879669e-01	2.762225e-01	9.526667e-02	1.285337e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.587331e+01	-4.938829e+01	3.861449e+01	-1.876847e+01	-4.853168e-02	-1.871118e-03	6.668449e-04	-1.757818e-03
18	-8.835937e+00	5.000000e-03	2.500000e-03		-2.103041e+02	8.621448e-08	-2.103044e+01	-2.103033e+01	-1.745771e+02	-2.103044e+02	4.849348e-02	8.993431e-10	1.117359e-01	3.881712e-01	2.762871e-01	9.531237e-02	1.284935e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.572699e+01	-4.947446e+01	3.860495e+01	-1.871075e+01	-4.849340e-02	-1.898723e-03	6.760189e-04	-1.756407e-03
19	-6.705817e-01	2.500000e-03	1.250000e-03				-2.103149e+01		-1.755365e+02	-2.103150e+02	4.824206e-02	8.993818e-10	1.145476e-01	3.859089e-01	2.760326e-01	9.526893e-02	1.282421e-01												
20	4.446862e-01	1.250000e-03	1.250000e-03				-2.103118e+01		-1.751328e+02	-2.103118e+02	4.835301e-02	8.993445e-10	1.128082e-01	3.872938e-01	2.762195e-01	9.532542e-02	1.283530e-01												
21	7.675174e-01	1.250000e-03	1.250000e-03		-2.103084e+02	2.707877e-07	-2.103087e+01	-2.103057e+01	-1.748536e+02	-2.103087e+02	4.842421e-02	8.993419e-10	1.122384e-01	3.877590e-01	2.762577e-01	9.532077e-02	1.284242e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.545484e+01	-4.926033e+01	3.860859e+01	-1.870610e+01	-4.842394e-02	-1.841371e-03	6.533418e-04	-1.757337e-03
22	9.684942e-01	1.250000e-03	2.500000e-03		-2.103112e+02	8.714296e-08	-2.103117e+01	-2.103103e+01	-1.748649e+02	-2.103118e+02	4.842063e-02	8.993419e-10	1.119565e-01	3.879766e-01	2.763021e-01	9.534415e-02	1.284206e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.544631e+01	-4.936310e+01	3.860212e+01	-1.867489e+01	-4.842054e-02	-1.871311e-03	6.642227e-04	-1.756306e-03
23	1.212363e-02	2.500000e-03	2.500000e-03		-2.103147e+02	4.972320e-08	-2.103144e+01	-2.103142e+01	-1.750628e+02	-2.103144e+02	4.837017e-02	8.993413e-10	1.121648e-01	3.877992e-01	2.763039e-01	9.536191e-02	1.283702e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.525192e+01	-4.926553e+01	3.860138e+01	-1.865570e+01	-4.837012e-02	-1.846406e-03	6.538646e-04	-1.756425e-03
24	-1.003985e+00	2.500000e-03	1.250000e-03		-2.103183e+02	3.950088e-07	-2.103208e+01	-2.103143e+01	-1.750591e+02	-2.103208e+02	4.836901e-02	8.993431e-10	1.115568e-01	3.882697e-01	2.763961e-01	9.540837e-02	1.283690e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.525915e+01	-4.949010e+01	3.858700e+01	-1.859339e+01	-4.836861e-02	-1.911614e-03	6.776199e-04	-1.754270e-03
25	2.969179e-01	1.250000e-03	1.250000e-03				-2.103284e+01		-1.755976e+02	-2.103284e+02	4.823298e-02	8.993491e-10	1.129602e-01	3.871368e-01	2.762762e-01	9.539379e-02	1.282330e-01												
26	7.584341e-01	1.250000e-03	1.250000e-03		-2.103219e+02	4.895971e-07	-2.103234e+01	-2.103170e+01	-1.753484e+02	-2.103234e+02	4.829667e-02	8.993403e-10	1.122357e-01	3.877199e-01	2.763422e-01	9.540555e-02	1.282967e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.497353e+01	-4.920929e+01	3.859472e+01	-1.860389e+01	-4.829618e-02	-1.834884e-03	6.477869e-04	-1.755772e-03
27	-8.730226e-02	1.250000e-03	6.250000e-04		-2.103230e+02	9.848429e-08	-2.103236e+01	-2.103220e+01	-1.753506e+02	-2.103236e+02	4.829484e-02	8.993418e-10	1.119352e-01	3.879529e-01	2.763880e-01	9.542907e-02	1.282948e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.497240e+01	-4.931981e+01	3.858793e+01	-1.857273e+01	-4.829474e-02	-1.867018e-03	6.595215e-04	-1.754712e-03
28	6.407209e-01	6.250000e-04	6.250000e-04				-2.103254e+01		-1.756304e+02	-2.103254e+02	4.822323e-02	8.993420e-10	1.124819e-01	3.875065e-01	2.763530e-01	9.543542e-02	1.282232e-01												
29	9.421702e-01	6.250000e-04	1.250000e-03		-2.103242e+02	7.395437e-08	-2.103243e+01	-2.103235e+01	-1.754907e+02	-2.103243e+02	4.825910e-02	8.993415e-10	1.121977e-01	3.877382e-01	2.763720e-01	9.543299e-02	1.282591e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.483358e+01	-4.920827e+01	3.858997e+01	-1.857072e+01	-4.825903e-02	-1.837001e-03	6.476413e-04	-1.755192e-03
