RTO_iter	merit	base_merit	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
43	-2.422938e+01		-2.422938e+02	3.244737e-02	1.198635e-01	3.799892e-01	2.714238e-01	9.822946e-02	1.124474e-01
44	-2.422938e+01		-2.422938e+02	3.244737e-02	1.198635e-01	3.799892e-01	2.714238e-01	9.822946e-02	1.124474e-01
45	-2.423021e+01	-2.423021e+01	-2.423021e+02	3.250198e-02	1.198184e-01	3.799904e-01	2.714379e-01	9.821830e-02	1.125020e-01
46	-2.423021e+01		-2.423021e+02	3.250198e-02	1.198184e-01	3.799904e-01	2.714379e-01	9.821830e-02	1.125020e-01
47	-2.423101e+01	-2.423101e+01	-2.423101e+02	3.251274e-02	1.198046e-01	3.800257e-01	2.714230e-01	9.820724e-02	1.125127e-01
48	-2.423101e+01		-2.423101e+02	3.251274e-02	1.198046e-01	3.800257e-01	2.714230e-01	9.820724e-02	1.125127e-01
49	-2.423179e+01	-2.423179e+01	-2.423179e+02	3.251579e-02	1.198021e-01	3.800609e-01	2.714024e-01	9.819596e-02	1.125158e-01
50	-2.423323e+01	-2.423323e+01	-2.423323e+02	3.244848e-02	1.198949e-01	3.801406e-01	2.713095e-01	9.817191e-02	1.124485e-01
51	-2.423323e+01		-2.423323e+02	3.244848e-02	1.198949e-01	3.801406e-01	2.713095e-01	9.817191e-02	1.124485e-01
52	-2.423466e+01	-2.423466e+01	-2.423466e+02	3.245986e-02	1.199005e-01	3.801918e-01	2.712709e-01	9.814883e-02	1.124599e-01
53	-2.423466e+01		-2.423466e+02	3.245986e-02	1.199005e-01	3.801918e-01	2.712709e-01	9.814883e-02	1.124599e-01
54	-2.423466e+01		-2.423466e+02	3.245986e-02	1.199005e-01	3.801918e-01	2.712709e-01	9.814883e-02	1.124599e-01
55	-2.423466e+01		-2.423466e+02	3.245986e-02	1.199005e-01	3.801918e-01	2.712709e-01	9.814883e-02	1.124599e-01
56	-2.423503e+01	-2.423503e+01	-2.423503e+02	3.251575e-02	1.198609e-01	3.801667e-01	2.712966e-01	9.814305e-02	1.125157e-01
57	-2.423571e+01	-2.423571e+01	-2.423571e+02	3.252239e-02	1.198445e-01	3.802105e-01	2.712796e-01	9.813232e-02	1.125224e-01
58	-2.423696e+01	-2.423696e+01	-2.423696e+02	3.245190e-02	1.199390e-01	3.802929e-01	2.711848e-01	9.810844e-02	1.124519e-01
59	-2.423899e+01	-2.423899e+01	-2.423899e+02	3.228542e-02	1.202541e-01	3.803648e-01	2.709698e-01	9.805642e-02	1.122854e-01
60	-2.424224e+01	-2.424224e+01	-2.424224e+02	3.220211e-02	1.195072e-01	3.815129e-01	2.708322e-01	9.801539e-02	1.122021e-01
61	-2.416019e+01		-2.416019e+02	2.976131e-02	1.136948e-01	3.910541e-01	2.699599e-01	9.839283e-02	1.097613e-01
62	-2.416019e+01		-2.416019e+02	2.976131e-02	1.136948e-01	3.910541e-01	2.699599e-01	9.839283e-02	1.097613e-01
63	-2.423399e+01		-2.423399e+02	3.152100e-02	1.180833e-01	3.839556e-01	2.705813e-01	9.811698e-02	1.115210e-01
64	-2.423399e+01		-2.423399e+02	3.152100e-02	1.180833e-01	3.839556e-01	2.705813e-01	9.811698e-02	1.115210e-01
65	-2.423399e+01		-2.423399e+02	3.152100e-02	1.180833e-01	3.839556e-01	2.705813e-01	9.811698e-02	1.115210e-01
66	-2.423399e+01		-2.423399e+02	3.152100e-02	1.180833e-01	3.839556e-01	2.705813e-01	9.811698e-02	1.115210e-01
67	-2.424195e+01		-2.424195e+02	3.215469e-02	1.194121e-01	3.816785e-01	2.708146e-01	9.802239e-02	1.121547e-01
68	-2.424207e+01		-2.424207e+02	3.217389e-02	1.194507e-01	3.816114e-01	2.708217e-01	9.801955e-02	1.121739e-01
69	-2.424212e+01		-2.424212e+02	3.218131e-02	1.194656e-01	3.815855e-01	2.708245e-01	9.801846e-02	1.121813e-01
70	-2.424213e+01		-2.424213e+02	3.218363e-02	1.194702e-01	3.815774e-01	2.708253e-01	9.801812e-02	1.121836e-01
71	-2.424214e+01		-2.424214e+02	3.218426e-02	1.194715e-01	3.815752e-01	2.708256e-01	9.801802e-02	1.121843e-01
72	-2.424214e+01		-2.424214e+02	3.218442e-02	1.194718e-01	3.815746e-01	2.708256e-01	9.801800e-02	1.121844e-01
73	-2.424214e+01		-2.424214e+02	3.218446e-02	1.194719e-01	3.815745e-01	2.708256e-01	9.801799e-02	1.121845e-01
74	-2.424214e+01		-2.424214e+02	3.218446e-02	1.194719e-01	3.815745e-01	2.708256e-01	9.801799e-02	1.121845e-01
75	-2.424214e+01		-2.424214e+02	3.218447e-02	1.194719e-01	3.815744e-01	2.708256e-01	9.801799e-02	1.121845e-01
76	-2.424214e+01		-2.424214e+02	3.218447e-02	1.194719e-01	3.815744e-01	2.708256e-01	9.801799e-02	1.121845e-01
77	-2.424214e+01		-2.424214e+02	3.218447e-02	1.194719e-01	3.815744e-01	2.708256e-01	9.801799e-02	1.121845e-01
78	-2.424214e+01		-2.424214e+02	3.218447e-02	1.194719e-01	3.815744e-01	2.708256e-01	9.801799e-02	1.121845e-01
79	-2.424214e+01		-2.424214e+02	3.218447e-02	1.194719e-01	3.815744e-01	2.708256e-01	9.801799e-02	1.121845e-01
80	-2.424214e+01		-2.424214e+02	3.218447e-02	1.194719e-01	3.815744e-01	2.708256e-01	9.801799e-02	1.121845e-01
