RTO_iter	Fa	Fb	Tr
0	3.600000e+00	1.000000e+01	8.500000e+01
1	3.603386e+00	9.996923e+00	8.508948e+01
2	3.610153e+00	9.990777e+00	8.526765e+01
3	3.623749e+00	9.978435e+00	8.562315e+01
4	3.651213e+00	9.953492e+00	8.633199e+01
5	3.707012e+00	9.902374e+00	8.774176e+01
6	3.819404e+00	9.793144e+00	9.053170e+01
7	4.330340e+00	9.408570e+00	9.027693e+01
8	4.007547e+00	9.549542e+00	9.140700e+01
9	3.709870e+00	9.480020e+00	9.235338e+01
10	3.855493e+00	9.529812e+00	9.186432e+01
11	4.002753e+00	9.510044e+00	9.127063e+01
12	3.926344e+00	9.512839e+00	9.153370e+01
13	4.001010e+00	9.507133e+00	9.125203e+01
14	3.925743e+00	9.508817e+00	9.152277e+01
15	4.000602e+00	9.504115e+00	9.124438e+01
16	3.960467e+00	9.497378e+00	9.136018e+01
17	3.922624e+00	9.492707e+00	9.148145e+01
18	3.957961e+00	9.482485e+00	9.132404e+01
19	3.938408e+00	9.483778e+00	9.139651e+01
20	3.920559e+00	9.475596e+00	9.143586e+01
21	3.936092e+00	9.466196e+00	9.135138e+01
22	3.927303e+00	9.469515e+00	9.139280e+01
23	3.920717e+00	9.461923e+00	9.139339e+01
24	3.921629e+00	9.452447e+00	9.136119e+01
25	3.921608e+00	9.457220e+00	9.137582e+01
26	3.919260e+00	9.452724e+00	9.137058e+01
27	3.914188e+00	9.444085e+00	9.136255e+01
28	3.914188e+00	9.434474e+00	9.133319e+01
29	3.914970e+00	9.439352e+00	9.134526e+01
30	3.914690e+00	9.441611e+00	9.135318e+01
31	3.914142e+00	9.439041e+00	9.134730e+01
32	3.911911e+00	9.434494e+00	9.134148e+01
33	3.906639e+00	9.425966e+00	9.133451e+01
34	3.912467e+00	9.418966e+00	9.129205e+01
35	3.908826e+00	9.421843e+00	9.131396e+01
36	3.907720e+00	9.423745e+00	9.132379e+01
37	3.907135e+00	9.421180e+00	9.131805e+01
38	3.904558e+00	9.416799e+00	9.131398e+01
39	3.903727e+00	9.411912e+00	9.130203e+01
40	3.900578e+00	9.407903e+00	9.130118e+01
41	3.902085e+00	9.403426e+00	9.128198e+01
42	3.901395e+00	9.405549e+00	9.129099e+01
43	3.899750e+00	9.403417e+00	9.129042e+01
44	3.899138e+00	9.400856e+00	9.128479e+01
45	3.897860e+00	9.398501e+00	9.128221e+01
46	3.897156e+00	9.395956e+00	9.127696e+01
47	3.895862e+00	9.393608e+00	9.127445e+01
48	3.895334e+00	9.391036e+00	9.126848e+01
49	3.893741e+00	9.388867e+00	9.126761e+01
50	3.894475e+00	9.386478e+00	9.125761e+01
51	3.894207e+00	9.387459e+00	9.126159e+01
52	3.894088e+00	9.387832e+00	9.126317e+01
53	3.893512e+00	9.386808e+00	9.126212e+01
54	3.893128e+00	9.385711e+00	9.126014e+01
55	3.892670e+00	9.384636e+00	9.125851e+01
56	3.892251e+00	9.383549e+00	9.125670e+01
57	3.891807e+00	9.382470e+00	9.125499e+01
58	3.891382e+00	9.381385e+00	9.125321e+01
59	3.890940e+00	9.380305e+00	9.125150e+01
60	3.890515e+00	9.379220e+00	9.124971e+01
61	3.890070e+00	9.378141e+00	9.124801e+01
62	3.889657e+00	9.377052e+00	9.124616e+01
63	3.889179e+00	9.375985e+00	9.124463e+01
64	3.888883e+00	9.374869e+00	9.124227e+01
65	3.888140e+00	9.373953e+00	9.124216e+01
66	3.888253e+00	9.374032e+00	9.124199e+01
67	3.889040e+00	9.373505e+00	9.123751e+01
68	3.889003e+00	9.373509e+00	9.123765e+01
69	3.888994e+00	9.373510e+00	9.123769e+01
70	3.888991e+00	9.373510e+00	9.123770e+01
71	3.888991e+00	9.373510e+00	9.123770e+01
72	3.888990e+00	9.373510e+00	9.123770e+01
73	3.888990e+00	9.373510e+00	9.123770e+01
74	3.888990e+00	9.373510e+00	9.123770e+01
75	3.888990e+00	9.373510e+00	9.123770e+01
76	3.888990e+00	9.373510e+00	9.123770e+01
77	3.888990e+00	9.373510e+00	9.123770e+01
78	3.888990e+00	9.373510e+00	9.123770e+01
79	3.888990e+00	9.373510e+00	9.123770e+01
80	3.888990e+00	9.373510e+00	9.123770e+01
