RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.534000e+00	8.291749e+01
2	4.691204e+00	8.632308e+01
3	4.751705e+00	8.802232e+01
4	4.788305e+00	8.979709e+01
5	4.780010e+00	8.943226e+01
6	4.738697e+00	8.892737e+01
7	4.766231e+00	8.863175e+01
8	4.760841e+00	8.928496e+01
9	4.805286e+00	9.033817e+01
10	4.817800e+00	9.078601e+01
11	4.781334e+00	9.027906e+01
12	4.776048e+00	9.058342e+01
13	4.772958e+00	9.063540e+01
14	4.793846e+00	9.053708e+01
15	4.805507e+00	9.072916e+01
16	4.817568e+00	9.092150e+01
17	4.771553e+00	8.971603e+01
18	4.809522e+00	8.981453e+01
19	4.822000e+00	9.055548e+01
20	4.817891e+00	9.054121e+01
