RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.773368e+00	8.207504e+01
2	4.943134e+00	8.524721e+01
3	4.992841e+00	8.660199e+01
4	5.005071e+00	8.711120e+01
5	5.007839e+00	8.729130e+01
6	5.009906e+00	8.737567e+01
7	5.006568e+00	8.735048e+01
8	5.007542e+00	8.735929e+01
9	5.010834e+00	8.740430e+01
10	5.015409e+00	8.746218e+01
11	5.013629e+00	8.746006e+01
12	5.012439e+00	8.745506e+01
13	5.017564e+00	8.751029e+01
14	5.017226e+00	8.751629e+01
15	5.018062e+00	8.752290e+01
16	5.015872e+00	8.750611e+01
17	5.014261e+00	8.749244e+01
18	5.011385e+00	8.743779e+01
19	5.013604e+00	8.745282e+01
20	5.016048e+00	8.747815e+01
