RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.177896e+00	8.231204e+01
2	4.407317e+00	8.531466e+01
3	4.602509e+00	8.722611e+01
4	4.810228e+00	8.997507e+01
5	4.700706e+00	8.882865e+01
6	4.239582e+00	8.590033e+01
7	4.513157e+00	8.623347e+01
8	4.444811e+00	8.690820e+01
9	4.903910e+00	9.013425e+01
10	5.031306e+00	9.167372e+01
11	4.658236e+00	8.957828e+01
12	4.659291e+00	8.962914e+01
13	4.632598e+00	8.939119e+01
14	4.788206e+00	8.984466e+01
15	4.921097e+00	9.090165e+01
16	5.057554e+00	9.198953e+01
17	4.496639e+00	8.815302e+01
18	4.949673e+00	8.983103e+01
19	5.095526e+00	9.189337e+01
20	5.087124e+00	9.206609e+01
