RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.061191e+00	7.602110e+01
2	4.116823e+00	7.696123e+01
3	4.167457e+00	7.782862e+01
4	4.213585e+00	7.863030e+01
5	4.255637e+00	7.937238e+01
6	4.293996e+00	8.006019e+01
7	4.329003e+00	8.069843e+01
8	4.360966e+00	8.129127e+01
9	4.390159e+00	8.184244e+01
10	4.417806e+00	8.235963e+01
11	4.444245e+00	8.284658e+01
12	4.469224e+00	8.330414e+01
13	4.492669e+00	8.373371e+01
14	4.514584e+00	8.413683e+01
15	4.535013e+00	8.451505e+01
16	4.554019e+00	8.486987e+01
17	4.571675e+00	8.520275e+01
18	4.588060e+00	8.551506e+01
19	4.603252e+00	8.580808e+01
20	4.617330e+00	8.608303e+01
