RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.012736e+00	7.598712e+01
2	4.029568e+00	7.691057e+01
3	4.049692e+00	7.777433e+01
4	4.072378e+00	7.858200e+01
5	4.096976e+00	7.933691e+01
6	4.122918e+00	8.004212e+01
7	4.149715e+00	8.070050e+01
8	4.176951e+00	8.131475e+01
9	4.204282e+00	8.188744e+01
10	4.231420e+00	8.242099e+01
11	4.258137e+00	8.291773e+01
12	4.284247e+00	8.337986e+01
13	4.309610e+00	8.380951e+01
14	4.334117e+00	8.420869e+01
15	4.357691e+00	8.457933e+01
16	4.380279e+00	8.492326e+01
17	4.401847e+00	8.524224e+01
18	4.422380e+00	8.553793e+01
19	4.441876e+00	8.581189e+01
20	4.460344e+00	8.606561e+01
