RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.051890e+00	7.623789e+01
2	4.103011e+00	7.740039e+01
3	4.152902e+00	7.848904e+01
4	4.201147e+00	7.950501e+01
5	4.247385e+00	8.044940e+01
6	4.291329e+00	8.132347e+01
7	4.332769e+00	8.212891e+01
8	4.371570e+00	8.286785e+01
9	4.407670e+00	8.354293e+01
10	4.441070e+00	8.415725e+01
11	4.471820e+00	8.471424e+01
12	4.500010e+00	8.521761e+01
13	4.525760e+00	8.567120e+01
14	4.549210e+00	8.607888e+01
15	4.570508e+00	8.644448e+01
16	4.589812e+00	8.677170e+01
17	4.607274e+00	8.706408e+01
18	4.623048e+00	8.732495e+01
19	4.637279e+00	8.755743e+01
20	4.650104e+00	8.776438e+01
