RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.021461e+00	7.594759e+01
2	4.045381e+00	7.682957e+01
3	4.071120e+00	7.765157e+01
4	4.098127e+00	7.841854e+01
5	4.125934e+00	7.913483e+01
6	4.154150e+00	7.980436e+01
7	4.182449e+00	8.043061e+01
8	4.210566e+00	8.101673e+01
9	4.238285e+00	8.156557e+01
10	4.265437e+00	8.207974e+01
11	4.291889e+00	8.256161e+01
12	4.317541e+00	8.301335e+01
13	4.342319e+00	8.343698e+01
14	4.366172e+00	8.383435e+01
15	4.389068e+00	8.420717e+01
16	4.410989e+00	8.455702e+01
17	4.431930e+00	8.488538e+01
18	4.451896e+00	8.519361e+01
19	4.470901e+00	8.548299e+01
20	4.488962e+00	8.575471e+01
