RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.089107e+00	7.577881e+01
2	4.169557e+00	7.650791e+01
3	4.242216e+00	7.718990e+01
4	4.307858e+00	7.782732e+01
5	4.367177e+00	7.842269e+01
6	4.420798e+00	7.897845e+01
7	4.469281e+00	7.949694e+01
8	4.513129e+00	7.998042e+01
9	4.552796e+00	8.043107e+01
10	4.588690e+00	8.085092e+01
11	4.621179e+00	8.124194e+01
12	4.650592e+00	8.160597e+01
13	4.677229e+00	8.194478e+01
14	4.701357e+00	8.226001e+01
15	4.723219e+00	8.255322e+01
16	4.743034e+00	8.282587e+01
17	4.760997e+00	8.307934e+01
18	4.777286e+00	8.331493e+01
19	4.792061e+00	8.353385e+01
20	4.805468e+00	8.373723e+01
