rto_iter	test_point_no	variable_name	noise
0	0	profit	1.071572e-02
0	0	XFr_A	-1.668794e-05
0	0	XFr_B	9.995032e-05
0	0	XFr_E	8.099649e-05
0	0	XFr_P	-2.000000e-04
0	0	XFr_G	1.746094e-04
0	1	profit	-3.240195e-03
0	1	XFr_A	2.443073e-05
0	1	XFr_B	-4.427062e-05
0	1	XFr_E	2.000000e-04
0	1	XFr_P	-2.000000e-04
0	1	XFr_G	2.741926e-05
0	2	profit	6.847833e-02
0	2	XFr_A	9.663130e-05
0	2	XFr_B	7.047800e-05
0	2	XFr_E	-1.541283e-05
0	2	XFr_P	-1.132058e-04
0	2	XFr_G	-3.199789e-06
0	3	profit	-2.564946e-02
0	3	XFr_A	-6.559453e-05
0	3	XFr_B	4.503856e-05
0	3	XFr_E	5.025823e-05
0	3	XFr_P	2.000000e-04
0	3	XFr_G	1.446643e-04
0	4	profit	3.596799e-02
0	4	XFr_A	-7.150422e-05
0	4	XFr_B	-1.015291e-04
0	4	XFr_E	-1.926873e-04
0	4	XFr_P	-1.192093e-04
0	4	XFr_G	1.632843e-04
0	5	profit	-1.722423e-02
0	5	XFr_A	-8.831952e-05
0	5	XFr_B	-1.278751e-04
0	5	XFr_E	1.821151e-04
0	5	XFr_P	3.558296e-05
0	5	XFr_G	6.810470e-05
1	0	profit	-4.428612e-03
1	0	XFr_A	-3.578072e-05
1	0	XFr_B	6.752485e-05
1	0	XFr_E	2.000000e-04
1	0	XFr_P	2.039866e-05
1	0	XFr_G	3.295608e-05
1	1	profit	1.233513e-01
1	1	XFr_A	-7.756942e-05
1	1	XFr_B	5.869383e-05
1	1	XFr_E	5.095947e-06
1	1	XFr_P	-7.333302e-05
1	1	XFr_G	4.068505e-05
1	2	profit	1.108188e-01
1	2	XFr_A	1.497174e-07
1	2	XFr_B	7.101826e-05
1	2	XFr_E	-1.065283e-04
1	2	XFr_P	2.663172e-05
1	2	XFr_G	-2.967881e-05
1	3	profit	1.946174e-02
1	3	XFr_A	1.158282e-04
1	3	XFr_B	1.180145e-04
1	3	XFr_E	-1.033117e-04
1	3	XFr_P	-3.627711e-05
1	3	XFr_G	7.849283e-05
1	4	profit	4.084303e-02
1	4	XFr_A	-9.265989e-05
1	4	XFr_B	-1.757633e-05
1	4	XFr_E	4.113344e-05
1	4	XFr_P	-1.006663e-04
1	4	XFr_G	-7.017838e-05
1	5	profit	1.175697e-01
1	5	XFr_A	1.995762e-05
1	5	XFr_B	9.844179e-06
1	5	XFr_E	1.040471e-04
1	5	XFr_P	7.766920e-05
